Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif;Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;pake hape yg bagus aja. iphone 11 pro ato samsung s20+ gitu. pake mirrorless malah ga easy to use, ahaha;pake hape yg bagus aja iphone 11 pro ato samsung s20 gitu pake mirrorless malah ga easy to use ahaha;menggunakan iphone yang bagus aja iphone 11 pro ato samsung s20 begitu menggunakan mirrorless malah tidak easy to use ahaha
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";spesifikasi positif,kamera positif;iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama.   iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.;iphone 11 dan iphone xs juga berkemungkinan akan melalui situasi  yang sama.   iphone xs menggunakan spesifikasi terkini termasuklah skrin oled serta menyokong telephoto berbanding iphone 11 menyokong kamera lebar dan ultra lebar.;iphone 11 dan iphone xs juga berkemungkinan akan melalui situasi yang sama iphone xs menggunakan spesifikasi terkini termasuklah skrin oled serta menyokong telephoto berbanding iphone 11 menyokong kamera lebar dan ultra lebar ;iphone 11 dan iphone xs juga berkemungkinan akan melalui situasi yang sama iphone xs menggunakan spesifikasi terkini termasuklah layar oled serta menyokong telephoto berbanding iphone 11 menyokong kamera lebar dan ultra lebar 
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;spesifikasi positif,kamera positif;Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;saya mencadangkan kepadanya iphone xs atas faktor tersebut walaupun saya akui iphone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;saya mencadangkan kepadanya iphone xs atas faktor tersebut walaupun saya akui iphone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar ;saya mencadangkan kepadanya iphone xs atas faktor tersebut walaupun saya akui iphone 11 hadir dengan chipset pemprosesan yang lebih memiliki serta mungkin ada yang berminat kepada kamera ultra lebar 
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif;Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;tak sama. ip 12 akan menggunakan chip baru dan screen display oled tidak seperti iphone 11 led screen;tak sama ip 12 akan menggunakan chip baru dan screen display oled tidak seperti iphone 11 led screen;tidak sama iphone 12 akan menggunakan chip baru dan layar layar oled tidak seperti iphone 11 led layar
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif;iphone11 emang cute bgt, pantes cewek-cewek pada beli.;iphone11 emang cute bgt, pantes cewek-cewek pada beli.;iphone11 emang cute bgt pantes cewek cewek pada beli ;iphone11 memang cute sekali pantes cewek cewek pada beli 
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. kamera blkg sama2 12MP;baterai positif,kamera positif;Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. kamera blkg sama2 12MP;saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. kecuali iphone 11 pro/pro max. battery ip xs max itu mah nya lebih besar ketimbah iphone 11. kl secara kamera iphone 11 menang lah kamera depan. kamera blkg sama2 12mp;saranku iphone xs max ajaa karna iphone 11 itu cuma perbaikan dari iphon xr kecuali iphone 11 pro pro max battery ip xs max itu mah nya lebih besar ketimbah iphone 11 kl secara kamera iphone 11 menang lah kamera depan kamera blkg sama2 12mp;saranku iphone xs max ajaa karna iphone 11 itu cuma perbaikan dari iphon xr kecuali iphone 11 pro pro max baterai iphone xs max itu mah nya lebih besar ketimbah iphone 11 kalau secara kamera iphone 11 menang lah kamera depan kamera belakang sama2 12mp
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif;Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;berikut merupakan kapasiti mah bagi iphone 11 iphone 11 - 3,110 mah iphone 11 pro - 3,046 mah iphone 11 pro max - 3,969 mah berdasarkan perbandingan ini, iphone 11 mempunyai mah lebih tinggi berbanding iphone 12.;berikut merupakan kapasiti mah bagi iphone 11 iphone 11 3 110 mah iphone 11 pro 3 046 mah iphone 11 pro max 3 969 mah berdasarkan perbandingan ini iphone 11 mempunyai mah lebih tinggi berbanding iphone 12 ;berikut merupakan kapasitas mah bagi iphone 11 iphone 11 3 110 mah iphone 11 pro 3 046 mah iphone 11 pro max 3 969 mah berdasarkan perbandingan ini iphone 11 mempunyai mah lebih tinggi berbanding iphone 12 
iPhone 11 kok lemot;general negatif;iPhone 11 kok lemot;iphone 11 kok lemot;iphone 11 kok lemot;iphone 11 kok lambat
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif;And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;and hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. also ada peluang untuk apple turunkan lagi harga iphone sebab dia dah jimat banyak. it is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone xr. sedangkan iphone 11 is better.;and hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger also ada peluang untuk apple turunkan lagi harga iphone sebab dia dah jimat banyak it is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone xr sedangkan iphone 11 is better ;dan hopefully harga iphone 12 pun akan kurang karena dia tidak datang dengan charger also ada peluang untuk apple turunkan lagi harga iphone karena dia dah jimat banyak it is possible karena harga asal iphone 11 sendiri pun lebih murah dari iphone xr sedangkan iphone 11 is lebih baik 
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih  saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari iphone xs max
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;spesifikasi positif;Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;aku sih mending yg memory besaaar. iphone11 udah cukup bgt koook;aku sih mending yg memory besaaar iphone11 udah cukup bgt koook;aku sih lebih baik yang memori besar iphone11 udah cukup sekali koook
Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëâ¹;harga negatif;Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëâ¹;dan kenapa harganya skrg mahal? krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. gitu lho. jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox ã°å¸ëâ¹;dan kenapa harganya skrg mahal krn dollar naik jd untuk iphone 11 series harganya juga ikut naik gitu lho jgn blg mahal bgt taun kmrn seginisegini gue februari beli jg cuma 12 jt yg 128gb di ibox ;dan kenapa harganya sekarang mahal karena dollar naik jadi untuk iphone 11 series harganya juga ikut naik begitu lho jgn bicara mahal sekali taun kmrn seginisegini gue februari beli juga cuma 12 jt yang 128gb di ibox 
"Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik

iPhone XS
Kelebihan :
1. OLED

iPhone 11
Kelebihan :
1. A13 Bionic
2. Ultra Wide lens
3. Night mode, Deep Fusion
4. Bateri tahan lebih lama  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦";baterai positif;Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik  iPhone XS Kelebihan : 1. OLED  iPhone 11 Kelebihan : 1. A13 Bionic 2. Ultra Wide lens 3. Night mode, Deep Fusion 4. Bateri tahan lebih lama    Ã¢â¬Â¦;bagi saya, jelas iphone 11 ialah pilihan yg lebih baik  iphone xs kelebihan : 1. oled  iphone 11 kelebihan : 1. a13 bionic 2. ultra wide lens 3. night mode, deep fusion 4. bateri tahan lebih lama    ã¢â¬â¦;bagi saya jelas iphone 11 ialah pilihan yg lebih baik iphone xs kelebihan 1 oled iphone 11 kelebihan 1 a13 bionic 2 ultra wide lens 3 night mode deep fusion 4 bateri tahan lebih lama ;bagi saya jelas iphone 11 adalah pilihan yang lebih baik iphone xs kelebihan 1 oled iphone 11 kelebihan 1 a13 bionic 2 ultra wide lens 3 night mode deep fusion 4 baterai tahan lebih lama 
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;harga negatif;A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;a. iphone 11 kalau dijual bisa belanja di shopee  lagi #shopeeid #shopeedarirumah;a iphone 11 kalau dijual bisa belanja di shopee lagi shopeeid shopeedarirumah;a iphone 11 kalau dijual bisa belanja di shopee lagi shopeeid shopeedarirumah
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;general positif,kamera positif,spesifikasi positif;Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max, tapi kalo buat keseluruhan ya iphone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;kalo sender lebih mentingin ketajaman layar mending xs max tapi kalo buat keseluruhan ya iphone 11 atuh ultra wide angle nya cakep banget chipsetnya juga terbaru ;kalau sender lebih lebih penting ketajaman layar lebih baik xs max tapi kalau buat keseluruhan ya iphone 11 atuh ultra wide angle nya bagus sekali chipset juga terbaru 
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491ÃÂ Ã¢â¬Â¦;general positif;Tiba tiba rasa tak menyesal beli iphone 11    Ã¢â¬Â¦;tiba tiba rasa tak menyesal beli iphone 11    ã¢â¬â¦;tiba tiba rasa tak menyesal beli iphone 11 ;tiba tiba rasa tidak menyesal beli iphone 11 
iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;general positif;iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;iphone 11 yg purple gemay bgt ga si hmã°å¸â¥âº;iphone 11 yg purple gemay bgt ga si hm ;iphone 11 yang ungu bagus sekali tidak si hm 
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;kamera negatif;Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;sebenernya aneh kamera iphone 11 kaya android ih smooth gt ;sebenarnya aneh kamera iphone 11 kaya android ih halus begitu 
Iphone 11 kameranya kenapa aneh banget si;kamera positif;Iphone 11 kameranya kenapa aneh banget si;iphone 11 kameranya kenapa aneh banget si;iphone 11 kameranya kenapa aneh banget si;iphone 11 kameranya kenapa aneh sekali si
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif;Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;berdasarkan laporan ini, saya boleh buat konklusi bahawa apple menurunkan kapasiti mah disebabkan mereka percaya cip a14 bionic mampu memberikan jangka hayat yang sama seperti iphone 11.;berdasarkan laporan ini saya boleh buat konklusi bahawa apple menurunkan kapasiti mah disebabkan mereka percaya cip a14 bionic mampu memberikan jangka hayat yang sama seperti iphone 11 ;berdasarkan laporan ini saya boleh buat kesimpulan bahawa apple menurunkan kapasitas mah disebabkan mereka percaya chipset a14 bionic mampu memberikan jangka tahan yang sama seperti iphone 11 
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif;Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;iphone 11 nder gua xr aja hasil nya udh gila bagus bgt ambil yg 256gb kalo andro kurang tau kadang suka ada efek berlebih difotonya dan di xr keatas ini efek bokeh bisa disetting diagramanya jadi bisa seblur apa fotonya ini berlaku buat kamera depan sm belakang;iphone 11 nder aku xr aja hasil nya udah sekali bagus sekali ambil yang 256gb kalau android kurang tau kadang suka ada efek berlebih difotonya dan di xr keatas ini efek bokeh bisa disetting diagramanya jadi bisa seblur apa fotonya ini berlaku buat kamera depan dengan belakang
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;general positif;Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;lol.. naksirrrrr banget sama ungu pastel nya iphone 11 ã°å¸â¥âº;lol naksirrrrr banget sama ungu pastel nya iphone 11 ;lol menyukai sekali sama ungu pastel nya iphone 11 
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif;hp iphone 11 tapi fotonya low quality semua..   ;hp iphone 11 tapi fotonya low quality semua..   ;hp iphone 11 tapi fotonya low quality semua ;iphone iphone 11 tapi fotonya kecil kualitas semua 
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif;Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kalo kamera bagusan xs max dripda iphone 11. mending kalo mau 11, langsung 11 promax aja.;kalo kamera bagusan xs max dripda iphone 11 mending kalo mau 11 langsung 11 promax aja ;kalau kamera bagusan xs max dripda iphone 11 lebih baik kalau mau 11 langsung 11 promax aja 
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif;Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;iphone 11  pro paling murah 18jt . bagi 5 hari so 3,6 jt . no rek nnti aku trf segitu selama 5 hari;iphone 11 pro paling murah 18jt bagi 5 hari so 3 6 jt no rek nnti aku trf segitu selama 5 hari;iphone 11 pro paling murah 18jt bagi 5 hari so 3 6 jt no rek nnti aku trf segitu selama 5 hari
kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif;kamera iphone 11 ngewiii sekali.   ;kamera iphone 11 ngewiii sekali.   ;kamera iphone 11 ngewiii sekali ;kamera iphone 11 ngewiii sekali 
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif;iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;iphone 11 sumpah bateri tahan macam android yg bateri 4k mah. tak tipu, aku pakai 11 ni sehari charge sekali je. kalau time tak pakai on low power mode lagi lama bateri tahan.;iphone 11 sumpah bateri tahan macam android yg bateri 4k mah tak tipu aku pakai 11 ni sehari charge sekali je kalau time tak pakai on low power mode lagi lama bateri tahan ;iphone 11 sumpah baterai tahan seperti android yang baterai 4k mah tidak bohong aku pakai 11 ini sehari charge sekali je kalau time tidak pakai hidup kecil power mode lagi lama baterai tahan 
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif;iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);iphone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);iphone barunya doang mahal secondnya murah coba cek deh 6 aja ada yg 2jt ya klo mau yang iphone 11 emang masih tinggi ;iphone barunya doang mahal secondnya murah coba cek deh 6 aja ada yang 2jt ya kalau mau yang iphone 11 memang masih tinggi 
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif;Iphone 11 is better ! Battery pun tahan 2 hari au;iphone 11 is better ! battery pun tahan 2 hari au;iphone 11 is better battery pun tahan 2 hari au;iphone 11 is lebih baik baterai pun tahan 2 hari au
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;baterai negatif;Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel   ;sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel   ;sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel ;sumpah bt sekali iphone 11 tuh charge lama sekali gue kalau charge full bisa 3 jam an dan baru ngesearch di google emang begitu hrs beli cepat chargingnya lg yang pro dan promax udah dpt charger cepat charger hhh kesel 
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif;hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif;harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga iphone x terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga iphone x terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga iphone x terhitung agak tinggi namun tidak akan kecewa setelah membelinya
sistem operasinya sangat lancar anti lemot;spesifikasi positif;sistem operasinya sangat lancar anti lemot;sistem operasinya sangat lancar anti lemot;sistem operasinya sangat lancar anti lemot;sistem operasinya sangat lancar anti lambat
desainnya emang paling unik dan simpel;general positif;desainnya emang paling unik dan simpel;desainnya emang paling unik dan simpel;desainnya emang paling unik dan simpel;desainnya memang paling unik dan simpel
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif;sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;sayangnya produk iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;sayangnya produk iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;sayangnya produk iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case iphone
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif;pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;pilihan case iphone x dan iphone 11 sangat beragam dan mudah ditemukan;pilihan case iphone x dan iphone 11 sangat beragam dan mudah ditemukan;pilihan case iphone x dan iphone 11 sangat beragam dan mudah ditemukan
selalu suka dan nyaman banget menggunakan Iphone;general positif;selalu suka dan nyaman banget menggunakan Iphone;selalu suka dan nyaman banget menggunakan iphone;selalu suka dan nyaman banget menggunakan iphone;selalu suka dan nyaman sekali menggunakan iphone
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif;kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif;iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;iphone x memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;iphone x memiliki ukuran layar 5 8 inchi yang membuat pengguna tidak bosan melihatnya;iphone x memiliki ukuran layar 5 8 inchi yang membuat pengguna tidak bosan melihatnya
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif,harga positif;ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;ukuran kamera depan 7mp dan kamera belakang 12 mp sangat cocok dengan harga yang ditetapkan;ukuran kamera depan 7mp dan kamera belakang 12 mp sangat cocok dengan harga yang ditetapkan;ukuran kamera depan 7mp dan kamera belakang 12 mp sangat cocok dengan harga yang ditetapkan
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;general negatif;Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;iphone x tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;iphone x tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;iphone x tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa
desain Iphone X terlihat hambar dan sedikit membosankan;general negatif;desain Iphone X terlihat hambar dan sedikit membosankan;desain iphone x terlihat hambar dan sedikit membosankan;desain iphone x terlihat hambar dan sedikit membosankan;desain iphone x terlihat hambar dan sedikit membosankan
sayangnya baterai iphone sangat boros;baterai negatif;sayangnya baterai iphone sangat boros;sayangnya baterai iphone sangat boros;sayangnya baterai iphone sangat boros;sayangnya baterai iphone sangat boros
hasil pengambilan gambar dan video saat malam hari sangat memuaskan;kamera positif;hasil pengambilan gambar dan video saat malam hari sangat memuaskan;hasil pengambilan gambar dan video saat malam hari sangat memuaskan;hasil pengambilan gambar dan video saat malam hari sangat memuaskan;hasil pengambilan gambar dan video saat malam hari sangat memuaskan
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif;resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah
pilihan warna pada Iphone sangat unik dan tidak membosankan;general positif;pilihan warna pada Iphone sangat unik dan tidak membosankan;pilihan warna pada iphone sangat unik dan tidak membosankan;pilihan warna pada iphone sangat unik dan tidak membosankan;pilihan warna pada iphone sangat unik dan tidak membosankan
Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;kamera positif;Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek
bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;spesifikasi positif;bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;bagi pembisnis iphone 11 sangat cocok karena memiliki performa yang sangat baik;bagi pembisnis iphone 11 sangat cocok karena memiliki performa yang sangat baik;bagi pembisnis iphone 11 sangat cocok karena memiliki performa yang sangat baik
Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;baterai positif;Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;iphone 11 memiliki prosesor a13 yang mampu menghemat 40 persen pemakaian daya baterai;iphone 11 memiliki prosesor a13 yang mampu menghemat 40 persen pemakaian daya baterai;iphone 11 memiliki prosesor a13 yang mampu menghemat 40 persen pemakaian daya baterai
pengisian daya pada Iphone 11 super cepat;baterai positif;pengisian daya pada Iphone 11 super cepat;pengisian daya pada iphone 11 super cepat;pengisian daya pada iphone 11 super cepat;pengisian daya pada iphone 11 super cepat
Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;general positif;Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;iphone 11 pro tahan air dan dapat bertahan selama 30 menit;iphone 11 pro tahan air dan dapat bertahan selama 30 menit;iphone 11 pro tahan air dan dapat bertahan selama 30 menit
