Tweet;label;Tweet_Parsed
"Pengen banget ganti iphone ke iphone 11 pro max

Tapi kok sayang banget duitnya yah keadaan masih kek gini..

Musti gimana yah biar bisa dapet pemasukan tambahan..?? Ada yang punya ide kah..?? Ã¢â¬â Buat bisnis  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM7CADDPY3R73OLBX7D7SLNZN62UYY2Z2JFREM2RZ3KK3PYEIBJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSXYKHYE3DKHNFMLBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ====ÃÂ Ã¢â¬Â¦";harga negatif; menginginkan sekali ganti  ke    tapi kok sayang sekali duitnya  keadaan masih seperti seperti harus gimana  biar bisa dapet pemasukan tambahan ada  punya ide  buat bisnis 
"prefer iphone 11 sbb future proof, battery pun tahan sehari, ada 2 camera belakang, and chipset dia antara the best in the market

Ip X boleh je but banyak masalah sbb first model iphone yg fullscreen

ip xr pun ok tapi kekurangan, screen tak secantik ip 11 dan 1 camera belakang";spesifikasi positif,baterai positif,kamera positif,general negatif;prefer  karena future proof baterai  tahan sehari ada kamera belakang dan chipset dia antara  baik in  pasar   boleh je but banyak masalah karena pertama model   fullscreen  xr  ok tapi kekurangan layar tidak cantik  dan kamera belakang
iphone 11 bagus yg purple apa yg tosca??,,plss bantu jawab Ã°Å¸ËÆÃ°Å¸Ëâ;general positif; bagus  ungu apa  tosca mohon bantu jawab 
iphone 11 cantik2 warnanyaÃ°Å¸Â¥Âº;general positif; cantik warnanya 
Iphone 11 promax, soalnya keren banget apalagi warna warnanya menly;general positif;  soalnya keren sekali apalagi warna warnanya kasual
Bjingan buka twitter di iphone 11 tapi di safarinya ya giniÃ°Å¸â¢â;general positif; buka twitter di  tapi di safarinya  seperti 
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif;menggunakan   bagus    ato samsung s begitu menggunakan mirrorless malah tidak easy  use ahaha
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";spesifikasi positif,kamera positif; dan   juga berkemungkinan akan melalui situasi  sama   menggunakan spesifikasi terkini termasuklah layar oled serta menyokong telephoto berbanding  menyokong kamera lebar dan ultra lebar 
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;spesifikasi positif,kamera positif;saya mencadangkan kepadanya   atas faktor tersebut walaupun saya akui  hadir dengan chipset pemprosesan  lebih memiliki serta mungkin ada  berminat kepada kamera ultra lebar 
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif;tidak sama  akan menggunakan chip baru dan layar layar oled tidak seperti  led layar
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif; memang cute sekali pantes cewek cewek pada beli 
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. kamera blkg sama2 12MP;baterai positif,kamera positif;saranku    ajaa karna  itu cuma perbaikan dari iphon xr kecuali     baterai    itu mah  lebih besar ketimbah  kalau secara kamera  menang lah kamera depan kamera belakang sama mp
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif;berikut merupakan kapasitas mah bagi   mah   mah    mah berdasarkan perbandingan ini  mempunyai mah lebih tinggi berbanding  
iPhone 11 kok lemot;general negatif; kok lambat
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif;dan hopefully harga   akan kurang karena dia tidak datang dengan charger also ada peluang untuk  turunkan lagi harga  karena dia  jimat banyak it is possible karena harga asal  sendiri  lebih murah dari  xr sedangkan  is lebih baik 
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;  karena lebih saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari   
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;spesifikasi positif;aku  lebih baik  memori besar  udah cukup sekali 
Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëâ¹;harga negatif;dan kenapa harganya sekarang mahal karena dollar naik jadi untuk  series harganya juga ikut naik begitu lho jgn bicara mahal sekali taun kmrn seginisegini gue februari beli juga cuma jt  gb di ibox 
"Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik

iPhone XS
Kelebihan :
1. OLED

iPhone 11
Kelebihan :
1. A13 Bionic
2. Ultra Wide lens
3. Night mode, Deep Fusion
4. Bateri tahan lebih lama  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦";baterai positif;bagi saya jelas  adalah pilihan  lebih baik   kelebihan oled  kelebihan a bionic ultra wide lens night mode deep fusion baterai tahan lebih lama 
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;harga negatif;a  kalau dijual bisa belanja di  lagi  
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;general positif,kamera positif,spesifikasi positif;kalau  lebih lebih penting ketajaman layar lebih baik   tapi kalau buat keseluruhan    ultra wide angle  bagus sekali chipset juga terbaru 
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491ÃÂ Ã¢â¬Â¦;general positif;tiba tiba rasa tidak menyesal beli  
iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;general positif;  ungu bagus sekali tidak  hm 
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;kamera negatif;sebenarnya aneh kamera  kaya android  halus begitu 
Iphone 11 kameranya kenapa aneh banget si;kamera positif; kameranya kenapa aneh sekali 
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif;berdasarkan laporan ini saya boleh buat kesimpulan bahawa  menurunkan kapasitas mah disebabkan mereka percaya chipset a bionic mampu memberikan jangka tahan  sama seperti  
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif;  aku xr  hasil  udah sekali bagus sekali ambil  gb kalau android kurang tau kadang suka ada efek berlebih difotonya dan di xr keatas ini efek bokeh bisa disetting diagramanya jadi bisa seblur apa fotonya ini berlaku buat kamera depan dengan belakang
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;general positif; menyukai sekali sama ungu pastel   
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif;  tapi fotonya kecil kualitas semua 
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif;kalau kamera bagusan   dripda  lebih baik kalau mau langsung   
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif;  paling murah jt bagi hari so jt no rek nnti aku trf segitu selama hari
kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif;kamera  ngewiii sekali 
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif;  baterai tahan seperti android  baterai k mah tidak bohong aku pakai ini sehari charge sekali je kalau time tidak pakai hidup kecil power mode lagi lama baterai tahan 
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif; barunya  mahal secondnya murah coba cek   ada  jt  kalau mau   memang masih tinggi 
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif; is lebih baik baterai  tahan hari au
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;baterai negatif; bt sekali  tuh charge lama sekali gue kalau charge full bisa jam an dan baru ngesearch di google emang begitu hrs beli cepat chargingnya lg   dan  udah dpt charger cepat charger  kesel 
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif;hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif;harga   terhitung agak tinggi namun tidak akan kecewa setelah membelinya
sistem operasinya sangat lancar anti lemot;spesifikasi positif;sistem operasinya sangat lancar anti lambat
desainnya emang paling unik dan simpel;general positif;desainnya memang paling unik dan simpel
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif;sayangnya produk  ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case 
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif;pilihan case   dan  sangat beragam dan mudah ditemukan
selalu suka dan nyaman banget menggunakan Iphone;general positif;selalu suka dan nyaman sekali menggunakan 
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif;kualitas gambar  jernih membuat para pengguna tidak pernah kecewa membelinya
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif;  memiliki ukuran layar inchi  membuat pengguna tidak bosan melihatnya
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif,harga positif;ukuran kamera depan mp dan kamera belakang mp sangat cocok dengan harga  ditetapkan
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;general negatif;  tidak memiliki fitur pemindai sidik jari  dianggap jauh lebih cepat dan mudah sehingga banyak pengguna  kecewa
desain Iphone X terlihat hambar dan sedikit membosankan;general negatif;desain   terlihat hambar dan sedikit membosankan
sayangnya baterai iphone sangat boros;baterai negatif;sayangnya baterai  sangat boros
hasil pengambilan gambar dan video saat malam hari sangat memuaskan;kamera positif;hasil pengambilan gambar dan video saat malam hari sangat memuaskan
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif;resolusi gambar dan video  dihasilkan sangat bagus sehingga ketika di zoom tidak pecah
pilihan warna pada Iphone sangat unik dan tidak membosankan;general positif;pilihan warna pada  sangat unik dan tidak membosankan
Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;kamera positif; memiliki fitur  dapat mengatur keburaman latar belakang foto  dapat menjadikan foto terlihat fokus pada satu objek
bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;spesifikasi positif;bagi pembisnis  sangat cocok karena memiliki performa  sangat baik
Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;baterai positif; memiliki prosesor a  mampu menghemat persen pemakaian daya baterai
pengisian daya pada Iphone 11 super cepat;baterai positif;pengisian daya pada  super cepat
Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;general positif;  tahan air dan dapat bertahan selama menit
Iphone 11 Pro didesain dengan dimensi layar yang lebih kecil sehingga nyaman untuk digenggam;general positif;  didesain dengan dimensi layar  lebih kecil sehingga nyaman untuk digenggam
Iphone 11 Pro memiliki tingkat kecerahan yang lebih baik;general positif;  memiliki tingkat kecerahan  lebih baik
kamera telefoto dan kamera ultra-wide masih terasa kurang greget;kamera negatif;kamera telefoto dan kamera ultra wide masih terasa kurang greget
Iphone 11 Pro tidak menyediakan lubang audio;general negatif;  tidak menyediakan lubang audio
bagus banget nih kamera nya bisa jadi youtuber deh aku;kamera positif;bagus sekali  kamera  bisa jadi youtuber  aku
baterai nya awet deh bisa seharian main tiktok;baterai positif;baterai  awet  bisa seharian main tiktok
ih senang deh tiada hari tanpa selfie nih gara-gara kamera nya;kamera positif; senang  tiada hari tanpa foto  gara gara kamera 
pantas di kantong nih hp nya jadi gak ribet bawa tas;general positif;pantas di kantong    jadi tidak ribet bawa tas
ukuran layarnya sedikit kecil agak susah nih mau ngegame;general negatif;ukuran layarnya sedikit kecil agak susah  mau ngegame
fitur-fitur kameranya bikin hasil foto cantik banget deh;kamera positif;fitur fitur kameranya membuat hasil foto cantik sekali 
IOS nya selalu update yang terbaru nih, jangan takut ketinggalan IOS;spesifikasi positif;ios  selalu perbarui  terbaru  jangan takut ketinggalan ios
walaupun harganya sangat mahal tapi spesifikasinya sangat baik;harga negatif,spesifikasi positif;walaupun harganya sangat mahal tapi spesifikasinya sangat baik
Iphone memiliki memori internal yang besar sehingga tidak memerlukan memori eksternal;spesifikasi positif; memiliki memori internal  besar sehingga tidak memerlukan memori eksternal
makin banyak nih video tiktok aku karena hasilnya jernih banget;kamera positif;makin banyak  video tiktok aku karena hasilnya jernih sekali
jalan-jalan makin puas nih karena bisa dapatin foto-foto yang bagus;kamera positif;jalan jalan makin puas  karena bisa dapatin foto foto  bagus
Iphone 11 Pro tidak memiliki RAM yang cukup besar hanya 4GB;spesifikasi negatif;  tidak memiliki ram  cukup besar hanya gb
sayangnya ngecas iphone sehari bisa sampai 2 atau 3 kali;baterai negatif;sayangnya charge  sehari bisa sampai atau sekali
spesifikasi iphone 11 Pro memang sangat baik jadi wajar harganya pun relatif tinggi;spesifikasi positif,harga negatif;spesifikasi   memang sangat baik jadi wajar harganya  relatif tinggi
terkadang kapasitas baterai turun drastis ketika memperbarui IOS;baterai negatif;terkadang kapasitas baterai turun drastis ketika memperbarui ios
aplikasi di iphone rata-rata banyak berbayar;general negatif;aplikasi di  rata rata banyak berbayar
baterai sangat boros sehingga selalu membawa cas kemana-mana;baterai negatif;baterai sangat boros sehingga selalu membawa cas kemana mana
kamera nya kadang suka ga bisa fokus;kamera negatif;kamera  kadang suka tidak bisa fokus
kecerahan dari kamera kadang suka tidak stabil;kamera negatif;kecerahan dari kamera kadang suka tidak stabil
banyak yang komen kamera 3 nya kayak kompor ih;kamera negatif;banyak  komen kamera  kayak kompor 
gaada efek glowingnya nih kamera;kamera negatif;tidak efek glowingnya  kamera
sumpah biasa aja nih kameranya ga ada bagus bagusnya;kamera negatif; biasa   kameranya tidak ada bagus bagusnya
hasil foto malam hari ga terlihat bagus;kamera negatif;hasil foto malam hari tidak terlihat bagus
efeknya gabisa nutupin jerawat nih;kamera negatif;efeknya gabisa nutupin jerawat 
makin kesini kameranya makin aneh ih, jelek;kamera negatif;makin kesini kameranya makin aneh  jelek
udah kayak minuman boba aja tu kamera banyak bener;kamera negatif;udah kayak minuman boba  itu kamera banyak benar
baru beli, baterai nya awet banget bisa seharian dipakai main tiktok;baterai positif;baru beli baterai  awet sekali bisa seharian dipakai main tiktok
ga perlu bawa casan kemana mana deh, baterai nya tahan banget;baterai positif;tidak perlu bawa casan kemana mana  baterai  tahan sekali
udah pake sekitar 5 bulan, kesehatan baterainya tidak menurun;baterai positif;udah menggunakan sekitar bulan kesehatan baterainya tidak menurun
sumpah ya awet bener seharian gila;baterai positif;  awet benar seharian sekali
ga nyesel sumpah beli iphone, baterai nya bisa nonton youtube seharian;baterai positif;tidak menyesal  beli  baterai  bisa nonton youtube seharian
lebih irit baterainya dari varian sebelumnya;baterai positif;lebih irit baterainya dari varian sebelumnya
ngecas nya ga perlu waktu lama loh;baterai positif;charge  tidak perlu waktu lama loh
boros banget gila baterainya;baterai negatif;boros sekali sekali baterainya
jadi nyesel beli iphone kalau tau baterai nya boros begini;baterai negatif;jadi menyesal beli  kalau tau baterai  boros begini
sumpah ya baru main sejam udah habis aja ini baterai;baterai negatif;  baru main sejam udah habis  ini baterai
baterai nya ga bisa dicopot nih;baterai negatif;baterai  tidak bisa dicopot 
ngedit video tiktok cuman bisa 1 nih kalau kayak gini baterainya;baterai negatif;ngedit video tiktok cuman bisa  kalau kayak seperti baterainya
udah kayak air terjun nih baterai cepat banget ngalirnya;baterai negatif;udah kayak air terjun  baterai cepat sekali ngalirnya
ini hp atau apa dah besar banget ukurannya;general negatif;ini  atau apa  besar sekali ukurannya
kalau jatuh keliatan lecetnya karna desainya mengkilap;general negatif;kalau jatuh keliatan lecetnya karna desainya mengkilap
terlalu besar ukurannya jadi susah masuk saku;general negatif;terlalu besar ukurannya jadi susah masuk saku
capek juga genggam hp segede ini;general negatif;capek juga genggam  segede ini
gila performanya bagus banget, cepat lagi;general positif;sekali performanya bagus sekali cepat lagi
sumpah ini mah kalau main game anti lemot wkwk sistem operasinya lancar banget;spesifikasi positif; ini mah kalau main game anti lambat  sistem operasinya lancar sekali
makin kesini kinerja dan sistem operasinya makin baik dah;spesifikasi positif;makin kesini kinerja dan sistem operasinya makin baik 
bisnis aku makin lancar deh kalau perfomanya kayak gini;general positif;bisnis aku makin lancar  kalau perfomanya kayak seperti
spesifikasinya gila memuaskan banget, tidak diragukan lagi;spesifikasi positif;spesifikasinya sekali memuaskan sekali tidak diragukan lagi
sayang ini RAM nya hanya 3GB;spesifikasi negatif;sayang ini ram  hanya gb
kadang IOS nya suka ngefek ga baik buat aplikasinya;spesifikasi negatif;kadang ios  suka ngefek tidak baik buat aplikasinya
fitur sidik jari dihapus kan jadi ribet;general negatif;fitur sidik jari dihapus kan jadi ribet
sebel banget tombol tengahnya dihilangkan;general negatif;kesal sekali tombol tengahnya dihilangkan
ih cuman ada memori internal nih gaada memori eksternalnya;spesifikasi negatif; cuman ada memori internal  tidak memori eksternalnya
sebel banget lubang audio nya gaada;general negatif;kesal sekali lubang audio  tidak
fitur-fiturnya banyak diganti nih jadi agak ribet;general negatif;fitur fiturnya banyak diganti  jadi agak ribet
agak kecewa sih RAM nya ga meningkat;spesifikasi negatif;agak kecewa  ram  tidak meningkat
belum 5g nih, masih aja 4g;general negatif;belum g  masih  g
dijamin gabakal nyesel deh beli iphone dengan harga segitu;harga positif;dijamin gabakal menyesal  beli  dengan harga segitu
wajar sih harga nya segitu karena pemakaiannya dalam jangka lama;harga positif;wajar  harga  segitu karena pemakaiannya dalam jangka lama
harga iphone x masih terjangkau kok;harga positif;harga   masih terjangkau kok
barang bermerek dengan harga segitu wajar dong;harga positif;barang bermerek dengan harga segitu wajar 
ada kualitas ada harga wkwk;harga positif;ada kualitas ada harga 
harga segitu buat iphone mah ga mahal;harga positif;harga segitu buat  mah tidak mahal
sumpah udah berapa kali beli ga pernah nyesel sama harga segitu;harga positif; udah berapa sekali beli tidak pernah menyesal sama harga segitu
ketahanan lama untuk harga segitu wajar banget;harga positif;ketahanan lama untuk harga segitu wajar sekali
jual ginjal dulu apa ya buat beli ip 11 pro;harga negatif;jual ginjal dulu apa  buat beli  
nabung berapa tahun ya buat beli ip 11;harga negatif;nabung berapa tahun  buat beli  
bikin dompet kering nih beli iphone;harga negatif;membuat dompet kering  beli 
sumpah ya mahal banget harganya;harga negatif;  mahal sekali harganya
udah minder duluan nih lihat harganya;harga negatif;udah minder duluan  lihat harganya
harganya tinggi banget udah deh liat ulasannya aja;harga negatif;harganya tinggi sekali udah  liat ulasannya 
ga turun turun nih harganya iphone tetap aja tinggi;harga negatif;tidak turun turun  harganya  tetap  tinggi
mau nangis aja deh liat harganya;harga negatif;mau suka   liat harganya
kamera iphone 11 sedikit lebih bagus dibanding pesaingnya dan untuk kualitas hasil jepretannya juga oke;kamera positif;kamera  sedikit lebih bagus dibanding pesaingnya dan untuk kualitas hasil jepretannya juga oke
Ngga suka sekali warna merah buat iphone 11;general negatif;ngga suka sekali warna merah buat  
Baterai iphone x dan 11 ngga ada bedanya, sangat boros;baterai negatif;baterai   dan ngga ada bedanya sangat boros
Sangat lucu yang warna kuning, jadi pengen beli iphone 11;general positif;sangat bagus  warna kuning jadi menginginkan beli  
Dari segi harga emang keduanya sama mahalnya tapi kualitas kamera tetep ip 11 dihati;harga negatif,kamera positif;dari segi harga memang keduanya sama mahalnya tapi kualitas kamera tetep  dihati
Hasil jepretan kamera iphone X biasa aja;kamera negatif;hasil jepretan kamera   biasa 
Spek ip X dan 11 ngga beda jauh, biasa aja ngga terlalu hebat;spesifikasi negatif;spek   dan ngga beda jauh biasa  ngga terlalu hebat
Nyesel buru-buru beli iphone X yang akhirnya spesifikasinya sama aja kayak iphone 11 wkwk;spesifikasi negatif;menyesal buru buru beli    akhirnya spesifikasinya sama  kayak  
Charger iphone dari dulu ngga pernah awet, selalu mudah rusak;baterai negatif;charger  dari dulu ngga pernah awet selalu mudah rusak
Daya tahan baterai iphone 11 sedikit lebih baik dibanding ip X;baterai positif;daya tahan baterai  sedikit lebih baik dibanding  
Ukuran iphone 11 besar banget untuk ditangan, agak kurang nyaman;general negatif;ukuran  besar sekali untuk ditangan agak kurang nyaman
harga oke lah untuk iphone 11 masih masuk sama isi kantong;harga positif;harga oke lah untuk  masih masuk sama isi kantong
Iphone 11 varian warnanya lebih banyak dibanding iphone X, kayaknya beli ip 11 aja deh lebih layak;general positif; varian warnanya lebih banyak dibanding   kayaknya beli    lebih layak
Iphone X ngga kalah keren kok sama iphone 11 dari segi kamera dan spesifikasi;kamera positif,spesifikasi positif;  ngga kalah keren kok sama  dari segi kamera dan spesifikasi
Speaker iphone X kenapa jelek banget ya kayak agak mendelep gitu;general negatif;speaker   kenapa jelek sekali  kayak agak mendelep begitu
Hasil video di iphone 11 bagus banget. Suka banget parah;kamera positif;hasil video di  bagus sekali suka sekali parah
Kecepatan charging iphone 11 lebih cepat dibanding ip X, padahal casannya sama aja. Tapi okelah...;baterai positif;kecepatan charger  lebih cepat dibanding   padahal casannya sama  tapi okelah 
Desain kamera iphone 11 kenapa begitu sih, cuma 2 aja tapi dikotakin jadi keliatan aneh;kamera negatif;desain kamera  kenapa begitu  cuma  tapi dikotakin jadi keliatan aneh
Iphone 11 iOS nya terbaru, ngga sabar nunggu keluar. Udah liat previewnya, bagus sangat.;spesifikasi positif; ios  terbaru ngga sabar nunggu keluar udah liat previewnya bagus sangat 
RAM ip 11 lebih oke 1 Gb dibanding ip X, langsung gas beli;spesifikasi positif;ram  lebih oke gb dibanding   langsung gas beli
Coba kamera iphonne 11 buat pertama kali ternyata night mode keren banget hasilnya terang lebih terang dari iphone x;kamera positif;coba kamera iphonne buat pertama sekali ternyata night mode keren sekali hasilnya terang lebih terang dari  
gila night mode iphone 11 ga abis pikir keren abis;kamera positif;sekali night mode  tidak abis pikir keren abis
pake iphone 11 sekarang ga perlu lagi dong susah-susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang wkwk;kamera positif;menggunakan  sekarang tidak perlu lagi  susah susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang 
hari ini mau keluar buat beli sayur sekalian coba kamera hp baru ku dan ternyata hasilnya ga mengecewakan;kamera positif;hari ini mau keluar buat beli sayur sekalian coba kamera  baru ku dan ternyata hasilnya tidak mengecewakan
gambar jepretan ip 11 pro resolusinya ga main-main;kamera positif;gambar jepretan   resolusinya tidak main main
pake ip 11 pro backlight selfie bisa jadi bagus;kamera positif;menggunakan   backlight foto bisa jadi bagus
hasil poto kamera ip 11 pro ga kalah sama dslr bro;kamera positif;hasil poto kamera   tidak kalah sama dslr 
saya terkesan dengan hasil night mode ip 11;kamera positif;saya terkesan dengan hasil night mode  
harganya mahal sih tapi ga apa-apa kameranya emang juara;kamera positif,harga negatif;harganya mahal  tapi tidak apa apa kameranya memang juara
keluar malem pengen coba night mode ip 11 pro hasilnya cakep banget;kamera positif;keluar malem menginginkan coba night mode   hasilnya bagus sekali
ternyata kameranya ga sebagus yang orang bilang tuh;kamera negatif;ternyata kameranya tidak sebagus  orang bilang tuh
hasil potonya ga sebanding sama harganya;kamera negatif;hasil potonya tidak sebanding sama harganya
kalo emang incer hp ip 11 pro cuma buat kameranya sih mending beli dslr sekalian lebih bagus;kamera negatif;kalau memang incer    cuma buat kameranya  lebih baik beli dslr sekalian lebih bagus
selfie kameranya ga bagus buat di tempat gelap;kamera negatif;foto kameranya tidak bagus buat di tempat gelap
biasa aja tuh kameranya;kamera negatif;biasa  tuh kameranya
kok gue ga ngerasa ada perbedaan yang signifikan buat kualitas kameranya;kamera negatif;kok gue tidak ngerasa ada perbedaan  signifikan buat kualitas kameranya
kualitas kameranya ga sebanding harga;kamera negatif;kualitas kameranya tidak sebanding harga
ga wow banget kameranya ah, lebay;kamera negatif;tidak wow sekali kameranya ah lebay
kurang bagus sih kameranya, kalau diliat dari harganya yang mahal ga setimpal banget;kamera negatif,harga negatif;kurang bagus  kameranya kalau diliat dari harganya  mahal tidak setimpal sekali
penempatan kameranya bikin jelek, aneh gitu jadinya liatnya;kamera negatif;penempatan kameranya membuat jelek aneh begitu jadinya liatnya
gila ip 11 beneran fast charging 30 menit doang langsung full tuh;baterai positif;sekali  beneran cepat charger menit  langsung full tuh
baterai ip 11 paling bagus sih dari ip seris yang lain;baterai positif;baterai  paling bagus  dari  seris  lain
baterai nya tahan lama banget nonton video berjam-jam tetap awet;baterai positif;baterai  tahan lama sekali nonton video berjam jam tetap awet
Sudah menggunakan 11 selama 2 bulan sekarang, saya rasa baterainya sangat bagus.;baterai positif;sudah menggunakan selama bulan sekarang saya rasa baterainya sangat bagus 
Saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam, dan sejauh ini kesehatan baterai masih 100%.;baterai positif;saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam dan sejauh ini kesehatan baterai masih 
aku biasa main hp dari jam 9 pagi dan sampai jam 11 malem bahkan baterainya ga habis sampai 50 persen;baterai positif;aku biasa main  dari jam pagi dan sampai jam malem bahkan baterainya tidak habis sampai persen
baterainya awet banget bisa dipake seharian, ga perlu lagi tuh bawa charger kemana-mana;baterai positif;baterainya awet sekali bisa digunakan seharian tidak perlu lagi tuh bawa charger kemana mana
ip 11 baterai than lama sih;baterai positif; baterai than lama 
waktu isi daya baterainya ip 11 lebih cepet dari ip x;baterai positif;waktu isi daya baterainya  lebih cepat dari  
baterainya awet dipake streaming lama lama haha;baterai positif;baterainya awet digunakan streaming lama lama 
Apple bilang iPhone 11 iPhone 11 Pro dan iPhone 11 Pro Max memiliki masa pakai baterai sehari tapi tidak juga tuh masa pakai baterai saya kurang dari 24 jam.;baterai negatif; bilang    dan    memiliki masa pakai baterai sehari tapi tidak juga tuh masa pakai baterai saya kurang dari jam 
waktu isi daya baterai sampai penuh lama juga;baterai negatif;waktu isi daya baterai sampai penuh lama juga
baterainya masih lebih awet yang ip 8 tuh daripada ip 11;baterai negatif;baterainya masih lebih awet   tuh daripada  
