Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4;Tweet_Parsed_5
dipake buat nge game ga tahan sih baterainya;baterai negatif;dipake buat nge game ga tahan sih baterainya;dipake buat nge game ga tahan sih baterainya;dipake buat nge game ga tahan sih baterainya;digunakan buat nge game tidak tahan  baterainya;guna buat nge game tidak tahan  baterai
ga kuat sih baterainya kalau dipake seharian;baterai negatif;ga kuat sih baterainya kalau dipake seharian;ga kuat sih baterainya kalau dipake seharian;ga kuat sih baterainya kalau dipake seharian;tidak kuat  baterainya kalau digunakan seharian;tidak kuat  baterai kalau guna hari
baterai nya ga kuat dipake lama lama;baterai negatif;baterai nya ga kuat dipake lama lama;baterai nya ga kuat dipake lama lama;baterai nya ga kuat dipake lama lama;baterai  tidak kuat digunakan lama lama;baterai  tidak kuat guna lama lama
cepet abis baterainya;baterai negatif;cepet abis baterainya;cepet abis baterainya;cepet abis baterainya;cepat abis baterainya;cepat abis baterai
buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;harga positif;buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;buat spesifikasinya  keren sekali harga  masih terjangkau ;buat spesifikasi  keren sekali harga  masih jangkau 
bole sih harga segitu, emang spesifikasi hp nya bagus juga;harga positif, spesifikasi positif;bole sih harga segitu, emang spesifikasi hp nya bagus juga;bole sih harga segitu, emang spesifikasi hp nya bagus juga;bole sih harga segitu emang spesifikasi hp nya bagus juga;bole  harga segitu memang spesifikasi   bagus juga;bole  harga segitu memang spesifikasi   bagus juga
harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harga positif;harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harganya masuk akal kok ga mahal ip kan harganya rata rata memang segitu;harganya masuk akal kok tidak mahal  kan harganya rata rata memang segitu;harga masuk akal kok tidak mahal  kan harga rata rata memang segitu
murah lah segitu mah, secara kan dolar emang mahal di indo;harga positif;murah lah segitu mah, secara kan dolar emang mahal di indo;murah lah segitu mah, secara kan dolar emang mahal di indo;murah lah segitu mah secara kan dolar emang mahal di indo;murah lah segitu mah secara kan dolar memang mahal di indo;murah lah segitu mah cara kan dolar memang mahal di indo
ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;harga positif;ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;ternyata ip 11 murah kiarain bakal lebih mahal lagi harganya wkwk;ternyata  murah kiarain bakal lebih mahal lagi harganya ;nyata  murah kiarain bakal lebih mahal lagi harga 
ga mahal sih menurutku secara ada kualitas ada harga;harga positif;ga mahal sih menurutku secara ada kualitas ada harga;ga mahal sih menurutku secara ada kualitas ada harga;ga mahal sih menurutku secara ada kualitas ada harga;tidak mahal  menurutku secara ada kualitas ada harga;tidak mahal  turut cara ada kualitas ada harga
ya murah sih menurut gue, soalnya kan emang barang bermerek jadi ya wajar aja;harga positif;ya murah sih menurut gue, soalnya kan emang barang bermerek jadi ya wajar aja;ya murah sih menurut gue, soalnya kan emang barang bermerek jadi ya wajar aja;ya murah sih menurut gue soalnya kan emang barang bermerek jadi ya wajar aja; murah  menurut gue soalnya kan memang barang bermerek jadi  wajar ; murah  turut gue soal kan memang barang merek jadi  wajar 
harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga positif;harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga iphone 11 murah kok gue beli ga nyampe 10 juta;harga  murah kok gue beli tidak nyampe juta;harga  murah kok gue beli tidak nyampe juta
kirain harganya bakalan mahal banget ternyata engga mahal kok;harga positif;kirain harganya bakalan mahal banget ternyata engga mahal kok;kirain harganya bakalan mahal banget ternyata engga mahal kok;kirain harganya bakalan mahal banget ternyata engga mahal kok;kirain harganya bakalan mahal sekali ternyata engga mahal kok;kirain harga bakal mahal sekali nyata engga mahal kok
harganya cukup murah untuk ukuran iphone keluaran terbaru;harga positif;harganya cukup murah untuk ukuran iphone keluaran terbaru;harganya cukup murah untuk ukuran iphone keluaran terbaru;harganya cukup murah untuk ukuran iphone keluaran terbaru;harganya cukup murah untuk ukuran  keluaran terbaru;harga cukup murah untuk ukur  keluar baru
gila mahal amat harganya, ga sanggup belinya;harga negatif;gila mahal amat harganya, ga sanggup belinya;gila mahal amat harganya, ga sanggup belinya;gila mahal amat harganya ga sanggup belinya;sekali mahal amat harganya tidak sanggup belinya;sekali mahal amat harga tidak sanggup beli
harga ip 11 kemahalan, jual ginjal dulu kali ya;harga negatif;harga ip 11 kemahalan, jual ginjal dulu kali ya;harga ip 11 kemahalan, jual ginjal dulu kali ya;harga ip 11 kemahalan jual ginjal dulu kali ya;harga  kemahalan jual ginjal dulu sekali ;harga  mahal jual ginjal dulu sekali 
hp buat sultan doang ini mah, mahal bener;harga negatif;hp buat sultan doang ini mah, mahal bener;hp buat sultan doang ini mah, mahal bener;hp buat sultan doang ini mah mahal bener; buat sultan  ini mah mahal benar; buat sultan  ini mah mahal benar
ga setimapal sih menurut gue harganya, kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;harga negatif;ga setimapal sih menurut gue harganya, kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;ga setimapal sih menurut gue harganya, kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;ga setimapal sih menurut gue harganya kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;tidak setimapal  menurut gue harganya kemahalan kalau cuma buat beli   lebih baik beli laptop sekalian;tidak setimapal  turut gue harga mahal kalau cuma buat beli   lebih baik beli laptop sekali
mahal banget satu hp doang seharga motor;harga negatif;mahal banget satu hp doang seharga motor;mahal banget satu hp doang seharga motor;mahal banget satu hp doang seharga motor;mahal sekali satu   seharga motor;mahal sekali satu   harga motor
mahal banget harganya, padahal modelnya keliatan lebih murah dari seris yang lain;harga negatif, general negatif;mahal banget harganya, padahal modelnya keliatan lebih murah dari seris yang lain;mahal banget harganya, padahal modelnya keliatan lebih murah dari seris yang lain;mahal banget harganya padahal modelnya keliatan lebih murah dari seris yang lain;mahal sekali harganya padahal modelnya keliatan lebih murah dari seris  lain;mahal sekali harga padahal model liat lebih murah dari seris  lain
pengen nangis liat harganya;harga negatif;pengen nangis liat harganya;pengen nangis liat harganya;pengen nangis liat harganya;pengen suka liat harganya;ken suka liat harga
barang bermerek mahal ya;harga negatif;barang bermerek mahal ya;barang bermerek mahal ya;barang bermerek mahal ya;barang bermerek mahal ;barang merek mahal 
harganya ga masuk akal, bikin nangis;harga negatif;harganya ga masuk akal, bikin nangis;harganya ga masuk akal, bikin nangis;harganya ga masuk akal bikin nangis;harganya tidak masuk akal membuat suka;harga tidak masuk akal buat suka
kemahalan sih menurutku, tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;harga negatif;kemahalan sih menurutku, tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;kemahalan sih menurutku, tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;kemahalan sih menurutku tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;kemahalan  menurutku tapi mungkin memang nulai tukar rupiah sama dolar  membuat tambah mahal;mahal  turut tapi mungkin memang nulai tukar rupiah sama dolar  buat tambah mahal
body nya bagus keliatan mewahnya;general positif;body nya bagus keliatan mewahnya;body nya bagus keliatan mewahnya;body nya bagus keliatan mewahnya;body  bagus keliatan mewahnya;body  bagus liat mewah
layarnya lebar, enak dipake;general positif;layarnya lebar, enak dipake;layarnya lebar, enak dipake;layarnya lebar enak dipake;layarnya lebar enak digunakan;layar lebar enak guna
pilihan warnanya banyak banget, unik dan lucu lucu;general positif;pilihan warnanya banyak banget, unik dan lucu lucu;pilihan warnanya banyak banget, unik dan lucu lucu;pilihan warnanya banyak banget unik dan lucu lucu;pilihan warnanya banyak sekali unik dan bagus bagus;pilih warna banyak sekali unik dan bagus bagus
gemes liat warnanya;general positif;gemes liat warnanya;gemes liat warnanya;gemes liat warnanya;gemes liat warnanya;gemes liat warna
iphone 11 warna kuning lucu;general positif;iphone 11 warna kuning lucu;iphone 11 warna kuning lucu;iphone 11 warna kuning lucu; warna kuning bagus; warna kuning bagus
gue suka sih sama model ip 11 ini, keliatan fresh dan unik;general positif;gue suka sih sama model ip 11 ini, keliatan fresh dan unik;gue suka sih sama model ip 11 ini, keliatan fresh dan unik;gue suka sih sama model ip 11 ini keliatan fresh dan unik;gue suka  sama model  ini keliatan fresh dan unik;gue suka  sama model  ini liat fresh dan unik
ip 11 banyak banget pilihan warnanya, bagus semua;general positif;ip 11 banyak banget pilihan warnanya, bagus semua;ip 11 banyak banget pilihan warnanya, bagus semua;ip 11 banyak banget pilihan warnanya bagus semua; banyak sekali pilihan warnanya bagus semua; banyak sekali pilih warna bagus semua
hpnya gede tapi enak sih jadinya liat ke layar;general positif;hpnya gede tapi enak sih jadinya liat ke layar;hpnya gede tapi enak sih jadinya liat ke layar;hpnya gede tapi enak sih jadinya liat ke layar;hpnya besar tapi enak  jadinya liat ke layar;hpnya besar tapi enak  jadi liat ke layar
hpnya ringan ternyata ga berat-berat banget;general positif;hpnya ringan ternyata ga berat-berat banget;hpnya ringan ternyata ga berat-berat banget;hpnya ringan ternyata ga berat berat banget;hpnya ringan ternyata tidak berat berat sekali;hpnya ringan nyata tidak berat berat sekali
ternyata bener anti air guys, gue rendem ga kenapa-kenapa;general positif;ternyata bener anti air guys, gue rendem ga kenapa-kenapa;ternyata bener anti air guys, gue rendem ga kenapa-kenapa;ternyata bener anti air guys gue rendem ga kenapa kenapa;ternyata benar anti air  gue rendem tidak kenapa kenapa;nyata benar anti air  gue rendem tidak kenapa kenapa
layarnya jelek banget, rentan retak meskipun ada pelindung layar.;general negatif;layarnya jelek banget, rentan retak meskipun ada pelindung layar.;layarnya jelek banget, rentan retak meskipun ada pelindung layar.;layarnya jelek banget rentan retak meskipun ada pelindung layar ;layarnya jelek sekali rentan retak meskipun ada pelindung layar ;layar jelek sekali rentan retak meski ada lindung layar 
ga ada yang spesial dari design hpnya, ga begitu beda dari series yang lain;general negatif;ga ada yang spesial dari design hpnya, ga begitu beda dari series yang lain;ga ada yang spesial dari design hpnya, ga begitu beda dari series yang lain;ga ada yang spesial dari design hpnya ga begitu beda dari series yang lain;tidak ada  spesial dari design hpnya tidak begitu beda dari series  lain;tidak ada  spesial dari design hpnya tidak begitu beda dari series  lain
kualitas speakernya jelek amat, padahal hp mahal;general negatif, harga negatif;kualitas speakernya jelek amat, padahal hp mahal;kualitas speakernya jelek amat, padahal hp mahal;kualitas speakernya jelek amat padahal hp mahal;kualitas speakernya jelek amat padahal  mahal;kualitas speakernya jelek amat padahal  mahal
layarnya gampang retak, harus pake pelindung sih;general negatif;layarnya gampang retak, harus pake pelindung sih;layarnya gampang retak, harus pake pelindung sih;layarnya gampang retak harus pake pelindung sih;layarnya gampang retak harus menggunakan pelindung ;layar gampang retak harus guna lindung 
model hpnya ga unik tuh, modelnya mirip yang seris xr;general negatif;model hpnya ga unik tuh, modelnya mirip yang seris xr;model hpnya ga unik tuh, modelnya mirip yang seris xr;model hpnya ga unik tuh modelnya mirip yang seris xr;model hpnya tidak unik tuh modelnya mirip  seris xr;model hpnya tidak unik tuh model mirip  seris xr
model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;general negatif;model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain kesannya jadi keliatan jadul padahal keluaran baru;model layarnya sama kaya seris lain kesannya jadi keliatan jadul padahal keluaran baru;model layar sama kaya seris lain kesan jadi liat jadul padahal keluar baru
modelnya kaya yang murahan;general negatif;modelnya kaya yang murahan;modelnya kaya yang murahan;modelnya kaya yang murahan;modelnya kaya  murahan;model kaya  murah
layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;general negatif;layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;layar bezelnya masih tebel kaya seris yang lama ga enak liatanya;layar bezelnya masih tebel kaya seris  lama tidak enak liatanya;layar bezelnya masih tebel kaya seris  lama tidak enak liatanya
dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;general negatif;dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;dalam kardusnya cuma ada hp sama kabel doang buat earpodnya harus beli terpisah;dalam kardusnya cuma ada  sama kabel  buat earpodnya harus beli terpisah;dalam kardus cuma ada  sama kabel  buat earpodnya harus beli pisah
warnanya jelek, ga keliatan mewah mirip hp murah;general negatif;warnanya jelek, ga keliatan mewah mirip hp murah;warnanya jelek, ga keliatan mewah mirip hp murah;warnanya jelek ga keliatan mewah mirip hp murah;warnanya jelek tidak keliatan mewah mirip  murah;warna jelek tidak liat mewah mirip  murah
layarnya udah ips ternyata, jadi lebih enak liatnya;spesifikasi positif;layarnya udah ips ternyata, jadi lebih enak liatnya;layarnya udah ips ternyata, jadi lebih enak liatnya;layarnya udah ips ternyata jadi lebih enak liatnya;layarnya udah ips ternyata jadi lebih enak liatnya;layar udah ips nyata jadi lebih enak liat
spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasi positif;spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasinya keren menggunakan chip a  katanya cpu dan gpu ponsel tercepat;spesifikasi keren guna chip a  kata cpu dan gpu ponsel cepat
layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;spesifikasi positif;layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;layarnya udah pake teknologi liquidretina lcd, jadinya keliatan lebih tajam dan jelas;layarnya udah pake teknologi liquidretina lcd jadinya keliatan lebih tajam dan jelas;layarnya udah menggunakan teknologi liquidretina lcd jadinya keliatan lebih tajam dan jelas;layar udah guna teknologi liquidretina lcd jadi liat lebih tajam dan jelas
yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;spesifikasi positif;yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;yang terlihat di layar kaya yang nyata banget sumpah bagus banget ini spesifikasinya; terlihat di layar kaya  nyata sekali  bagus sekali ini spesifikasinya; lihat di layar kaya  nyata sekali  bagus sekali ini spesifikasi
layarnya lebih sensitif dari seris yang lama, enak banget pakenya;spesifikasi positif;layarnya lebih sensitif dari seris yang lama, enak banget pakenya;layarnya lebih sensitif dari seris yang lama, enak banget pakenya;layarnya lebih sensitif dari seris yang lama enak banget pakenya;layarnya lebih sensitif dari seris  lama enak sekali pakenya;layar lebih sensitif dari seris  lama enak sekali pakenya
puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;spesifikasi positif, harga negatif;puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;puas banget beli hp ip 11 walaupun mahal tapi spesifikasinya memuaskan;puas sekali beli   walaupun mahal tapi spesifikasinya memuaskan;puas sekali beli   walaupun mahal tapi spesifikasi muas
layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;spesifikasi positif;layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;layarnya lebar 6 1 inchi jadi enak di pake nonton dan main game;layarnya lebar inchi jadi enak di menggunakan nonton dan main game;layar lebar inchi jadi enak di guna nonton dan main game
audionya pake dolby guys, jadi suaranya jernih;spesifikasi positif;audionya pake dolby guys, jadi suaranya jernih;audionya pake dolby guys, jadi suaranya jernih;audionya pake dolby guys jadi suaranya jernih;audionya menggunakan dolby  jadi suaranya jernih;audio guna dolby  jadi suara jernih
kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;spesifikasi positif;kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;kualitas layarnya oke banget tingkat kecerahannya ga bikin mata sakit walau lama lama liat layar;kualitas layarnya oke sekali tingkat kecerahannya tidak membuat mata sakit walau lama lama liat layar;kualitas layar oke sekali tingkat cerah tidak buat mata sakit walau lama lama liat layar
gpu nya bagus banget, ngalah grapisnya kenceng;spesifikasi positif;gpu nya bagus banget, ngalah grapisnya kenceng;gpu nya bagus banget, ngalah grapisnya kenceng;gpu nya bagus banget ngalah grapisnya kenceng;gpu  bagus sekali ngalah grapisnya kenceng;gpu  bagus sekali ngalah grapisnya kenceng
ga ada port buat headset, bikin ribet;spesifikasi negatif;ga ada port buat headset, bikin ribet;ga ada port buat headset, bikin ribet;ga ada port buat headset bikin ribet;tidak ada port buat headset membuat ribet;tidak ada port buat headset buat ribet
ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;spesifikasi negatif;ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;ip 11 fitur pengamannya jelek banget pengitai jari aja ga ada; fitur pengamannya jelek sekali pengitai jari  tidak ada; fitur kam jelek sekali kita jari  tidak ada
ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;spesifikasi negatif;ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;ip 11 belom 5g susah lagi deh nanti kalau di indo udah pada 5g; belom g susah lagi deh nanti kalau di indo udah pada g; bom g susah lagi deh nanti kalau di indo udah pada g
RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;spesifikasi negatif, harga negatif;RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;ram nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;ram nya ga ada yange lebih gede kah dikit amat kasihnya padahal hp mahal;ram  tidak ada yange lebih besar  dikit amat kasihnya padahal  mahal;ram  tidak ada yange lebih besar  dikit amat kasih padahal  mahal
belum bisa 5g hpnya, padahal harganya ga murah loh;spesifikasi negatif, harga negatif;belum bisa 5g hpnya, padahal harganya ga murah loh;belum bisa 5g hpnya, padahal harganya ga murah loh;belum bisa 5g hpnya padahal harganya ga murah loh;belum bisa g hpnya padahal harganya tidak murah loh;belum bisa g hpnya padahal harga tidak murah loh
ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;spesifikasi negatif;ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;ga ada radionya wkwk dari dulu biasa denger radio jadi ga bisa deh gara gara ganti hp;tidak ada radionya  dari dulu biasa denger radio jadi tidak bisa deh gara gara ganti ;tidak ada radio  dari dulu biasa denger radio jadi tidak bisa deh gara gara ganti 
memori RAM nya kecil banget, gabisa pake banyak app sekaligus;spesifikasi negatif;memori RAM nya kecil banget, gabisa pake banyak app sekaligus;memori ram nya kecil banget, gabisa pake banyak app sekaligus;memori ram nya kecil banget gabisa pake banyak app sekaligus;memori ram  kecil sekali gabisa menggunakan banyak aplikasi sekaligus;memori ram  kecil sekali gabisa guna banyak aplikasi sekaligus
layarnya masih pake IPS, ga setajam dan secerah OLED;spesifikasi negatif;layarnya masih pake IPS, ga setajam dan secerah OLED;layarnya masih pake ips, ga setajam dan secerah oled;layarnya masih pake ips ga setajam dan secerah oled;layarnya masih menggunakan ips tidak setajam dan secerah oled;layar masih guna ips tidak tajam dan cerah oled
tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;spesifikasi negatif;tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;tidak mendukung buat pake headset nih ga ada portnya jadi memang harus beli earpod;tidak mendukung buat menggunakan headset  tidak ada portnya jadi memang harus beli earpod;tidak dukung buat guna headset  tidak ada portnya jadi memang harus beli earpod
kecewa sih spesifikasinya ga sekeren yang diharapkan;spesifikasi negatif;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa sih spesifikasinya ga sekeren yang diharapkan;kecewa  spesifikasinya tidak sekeren  diharapkan;kecewa  spesifikasi tidak keren  harap
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli  kameranya bagus sekali;ganyesel deh beli  kamera bagus sekali
iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;kamera positif, general negatif;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu; xr rada berat deh tapi untuk kameranya ada effect effect glowing begitu; xr rada berat deh tapi untuk kamera ada effect effect glowing begitu
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli iphone 11 kameranya bagus banget;ganyesel deh beli  kameranya bagus sekali;ganyesel deh beli  kamera bagus sekali
suka banget iphone 11 pro kamera ultra wide nya;kamera positif;suka banget iphone 11 pro kamera ultra wide nya;suka banget iphone 11 pro kamera ultra wide nya;suka banget iphone 11 pro kamera ultra wide nya;suka sekali   kamera ultra wide ;suka sekali   kamera ultra wide 
resolusinya sih kaya kamera slr;kamera positif;resolusinya sih kaya kamera slr;resolusinya sih kaya kamera slr;resolusinya sih kaya kamera slr;resolusinya  kaya kamera slr;resolusi  kaya kamera slr
kenapa harus bagus banget nih kamera iphone;kamera positif;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus banget nih kamera iphone;kenapa harus bagus sekali  kamera ;kenapa harus bagus sekali  kamera 
kameranya bikin jatuh cinta;kamera positif;kameranya bikin jatuh cinta;kameranya bikin jatuh cinta;kameranya bikin jatuh cinta;kameranya membuat jatuh cinta;kamera buat jatuh cinta
natural banget nih kamera;kamera positif;natural banget nih kamera;natural banget nih kamera;natural banget nih kamera;natural sekali  kamera;natural sekali  kamera
iphone makin keatas makin keren kameranya;kamera positif;iphone makin keatas makin keren kameranya;iphone makin keatas makin keren kameranya;iphone makin keatas makin keren kameranya; makin keatas makin keren kameranya; makin atas makin keren kamera
beli iphone karena suka kameranya haha;kamera positif;beli iphone karena suka kameranya haha;beli iphone karena suka kameranya haha;beli iphone karena suka kameranya haha;beli  karena suka kameranya ;beli  karena suka kamera 
terlalu natural untuk muka ku yang jerawatan;kamera negatif;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku yang jerawatan;terlalu natural untuk muka ku  jerawatan;terlalu natural untuk muka ku  jerawat
kameranya tetep tidak bikin muka glowing;kamera negatif;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak bikin muka glowing;kameranya tetep tidak membuat muka glowing;kamera tetep tidak buat muka glowing
biasa aja asli kameranya;kamera negatif;biasa aja asli kameranya;biasa aja asli kameranya;biasa aja asli kameranya;biasa  asli kameranya;biasa  asli kamera
beli iphone karena kamera doang juga masih banyak kali yang bagus;kamera negatif;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli iphone karena kamera doang juga masih banyak kali yang bagus;beli  karena kamera  juga masih banyak sekali  bagus;beli  karena kamera  juga masih banyak sekali  bagus
jatoh pas dibagian kamera langsung pecah;kamera negatif;jatoh pas dibagian kamera langsung pecah;jatoh pas dibagian kamera langsung pecah;jatoh pas dibagian kamera langsung pecah;jatoh pas dibagian kamera langsung pecah;jatoh pas bagi kamera langsung pecah
kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kamera negatif;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kameranya terlalu menonjol jadi kalau taro meja kaya tergesek;kamera terlalu tonjol jadi kalau taro meja kaya gesek
kamera apa yang beda sih kaya sama aja;kamera negatif;kamera apa yang beda sih kaya sama aja;kamera apa yang beda sih kaya sama aja;kamera apa yang beda sih kaya sama aja;kamera apa  beda  kaya sama ;kamera apa  beda  kaya sama 
terus aja tambah kameranya sampe 5 banyak bener;kamera negatif;terus aja tambah kameranya sampe 5 banyak bener;terus aja tambah kameranya sampe 5 banyak bener;terus aja tambah kameranya sampe 5 banyak bener;terus  tambah kameranya sampe banyak benar;terus  tambah kamera sampe banyak benar
biasa aja kameranya;kamera negatif;biasa aja kameranya;biasa aja kameranya;biasa aja kameranya;biasa  kameranya;biasa  kamera
pori pori keliatan banget pake nih kamera;kamera negatif;pori pori keliatan banget pake nih kamera;pori pori keliatan banget pake nih kamera;pori pori keliatan banget pake nih kamera;pori pori keliatan sekali menggunakan  kamera;pori pori liat sekali guna  kamera
kok aku merasa tidak boros ya baterainya iphone xr;baterai positif;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros ya baterainya iphone xr;kok aku merasa tidak boros  baterainya  xr;kok aku rasa tidak boros  baterai  xr
cepet banget ke isi sih baterainya keren;baterai positif;cepet banget ke isi sih baterainya keren;cepet banget ke isi sih baterainya keren;cepet banget ke isi sih baterainya keren;cepat sekali ke isi  baterainya keren;cepat sekali ke isi  baterai keren
wah makin irit ya baterainya;baterai positif;wah makin irit ya baterainya;wah makin irit ya baterainya;wah makin irit ya baterainya;wah makin irit  baterainya;wah makin irit  baterai
gila ganyangka baterainya cepet ke isi;baterai positif;gila ganyangka baterainya cepet ke isi;gila ganyangka baterainya cepet ke isi;gila ganyangka baterainya cepet ke isi;sekali ganyangka baterainya cepat ke isi;sekali ganyangka baterai cepat ke isi
wah udah pake sekian lama ternyata baterainya ga boros;baterai positif;wah udah pake sekian lama ternyata baterainya ga boros;wah udah pake sekian lama ternyata baterainya ga boros;wah udah pake sekian lama ternyata baterainya ga boros;wah udah menggunakan sekian lama ternyata baterainya tidak boros;wah udah guna sekian lama nyata baterai tidak boros
seneng banget charge sebentar langsung penuh;baterai positif;seneng banget charge sebentar langsung penuh;seneng banget charge sebentar langsung penuh;seneng banget charge sebentar langsung penuh;seneng sekali charge sebentar langsung penuh;neng sekali charge sebentar langsung penuh
lebih cepet penuh baterainya daripada iphone dibawah x;baterai positif;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepet penuh baterainya daripada iphone dibawah x;lebih cepat penuh baterainya daripada  dibawah ;lebih cepat penuh baterai daripada  bawah 
