Tweet;label;Tweet_Parsed;Prediksi;Prediksi_Score
baterai nya ga kuat dipake lama lama;baterai negatif;baterai tidak kuat;baterai negatif;baterai -2
cepet abis baterainya;baterai negatif;cepat abis baterainya;baterai positif;baterai 1
buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;harga positif;spesifikasinya keren harga terjangkau;harga positif;harga 1
bole sih harga segitu, emang spesifikasi hp nya bagus juga;harga positif, spesifikasi positif;bole harga segitu spesifikasi bagus;harga positif;harga 1
harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harga positif;harganya masuk akal tidak mahal harganya segitu;harga negatif;harga -2
murah lah segitu mah, secara kan dolar emang mahal di indo;harga positif;murah segitu mah dolar mahal indo;harga negatif,baterai positif;harga -2,baterai 0
ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;harga positif;murah kiarain lebih mahal harganya;harga negatif;harga -2
ga mahal sih menurutku secara ada kualitas ada harga;harga positif;tidak mahal menurutku kualitas harga;harga negatif;harga -3
ya murah sih menurut gue, soalnya kan emang barang bermerek jadi ya wajar aja;harga positif;murah gue barang bermerek wajar;harga positif;harga 0
harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga positif;harga murah gue beli tidak nyampe juta;harga negatif;harga -1
kirain harganya bakalan mahal banget ternyata engga mahal kok;harga positif;kirain harganya mahal engga mahal;harga negatif;harga -2
harganya cukup murah untuk ukuran iphone keluaran terbaru;harga positif;harganya cukup murah ukuran keluaran terbaru;general positif,harga positif;general 1,harga 0
gila mahal amat harganya, ga sanggup belinya;harga negatif;mahal harganya tidak sanggup belinya;harga negatif;harga -2
harga ip 11 kemahalan, jual ginjal dulu kali ya;harga negatif;harga kemahalan jual ginjal;harga negatif;harga -1
hp buat sultan doang ini mah, mahal bener;harga negatif;sultan mah mahal;harga negatif,baterai positif;harga -2,baterai 0
ga setimapal sih menurut gue harganya, kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;harga negatif;tidak setimapal gue harganya kemahalan cuma beli lebih beli laptop;harga negatif;harga -1
mahal banget satu hp doang seharga motor;harga negatif;mahal seharga motor;harga negatif;harga -2
mahal banget harganya, padahal modelnya keliatan lebih murah dari seris yang lain;harga negatif, general negatif;mahal harganya modelnya keliatan lebih murah seris;harga negatif;harga -2
pengen nangis liat harganya;harga negatif;pengen suka liat harganya;harga positif;harga 0
barang bermerek mahal ya;harga negatif;barang bermerek mahal;harga negatif;harga -2
harganya ga masuk akal, bikin nangis;harga negatif;harganya tidak masuk akal suka;harga negatif;harga -1
kemahalan sih menurutku, tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;harga negatif;kemahalan menurutku nulai tukar rupiah dolar tambah mahal;harga negatif;harga -3
body nya bagus keliatan mewahnya;general positif;body bagus keliatan mewahnya;general positif;general 1
layarnya lebar, enak dipake;general positif;layarnya lebar enak;general positif;general 1
pilihan warnanya banyak banget, unik dan lucu lucu;general positif;pilihan warnanya unik bagus bagus;general positif;general 1
gemes liat warnanya;general positif;gemes liat warnanya;general positif;general 0
iphone 11 warna kuning lucu;general positif;warna kuning bagus;general positif;general 0
gue suka sih sama model ip 11 ini, keliatan fresh dan unik;general positif;gue suka model keliatan fresh unik;general positif;general 1
ip 11 banyak banget pilihan warnanya, bagus semua;general positif;pilihan warnanya bagus;general positif;general 1
hpnya gede tapi enak sih jadinya liat ke layar;general positif;hpnya enak liat layar;general positif;general 1
hpnya ringan ternyata ga berat-berat banget;general positif;hpnya ringan tidak berat berat;general negatif;general -2
ternyata bener anti air guys, gue rendem ga kenapa-kenapa;general positif;anti air gue rendem tidak;general negatif;general -1
layarnya jelek banget, rentan retak meskipun ada pelindung layar.;general negatif;layarnya jelek rentan retak pelindung layar;general negatif;general -2
ga ada yang spesial dari design hpnya, ga begitu beda dari series yang lain;general negatif;tidak spesial design hpnya tidak beda series;general negatif;general -2
kualitas speakernya jelek amat, padahal hp mahal;general negatif, harga negatif;kualitas speakernya jelek mahal;harga negatif;harga -3
layarnya gampang retak, harus pake pelindung sih;general negatif;layarnya gampang retak harus pelindung;general positif;general 0
model hpnya ga unik tuh, modelnya mirip yang seris xr;general negatif;model hpnya tidak unik tuh modelnya seris xr;general positif;general 0
model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;general negatif;model layarnya kaya seris kesannya keliatan jadul keluaran;general positif;general 1
modelnya kaya yang murahan;general negatif;modelnya kaya murahan;general positif;general 0
layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;general negatif;layar bezelnya tebel kaya seris tidak enak liatanya;general positif;general 1
dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;general negatif;kardusnya cuma kabel earpodnya harus beli terpisah;general positif;general 0
warnanya jelek, ga keliatan mewah mirip hp murah;general negatif;warnanya jelek tidak keliatan mewah murah;general negatif,harga positif;general -2,harga 0
layarnya udah ips ternyata, jadi lebih enak liatnya;spesifikasi positif;layarnya udah ips lebih enak liatnya;general positif;general 1
spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasi positif;spesifikasinya keren chip cpu gpu ponsel tercepat;spesifikasi positif;spesifikasi 1
layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;spesifikasi positif;layarnya udah teknologi liquidretina lcd keliatan lebih tajam jelas;general positif;general 0
yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;spesifikasi positif;layar kaya nyata bagus spesifikasinya;general positif;general 2
layarnya lebih sensitif dari seris yang lama, enak banget pakenya;spesifikasi positif;layarnya lebih sensitif seris enak pakenya;general positif;general 1
puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;spesifikasi positif, harga negatif;puas beli walaupun mahal spesifikasinya memuaskan;harga negatif;harga -2
layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;spesifikasi positif;layarnya lebar inchi enak nonton main game;general positif;general 1
audionya pake dolby guys, jadi suaranya jernih;spesifikasi positif;audionya dolby suaranya jernih;general positif;general 0
kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;spesifikasi positif;kualitas layarnya oke tingkat kecerahannya tidak mata sakit walau liat layar;general negatif;general -2
gpu nya bagus banget, ngalah grapisnya kenceng;spesifikasi positif;gpu bagus ngalah grapisnya kenceng;general positif;general 1
ga ada port buat headset, bikin ribet;spesifikasi negatif;tidak port headset ribet;general negatif;general -2
ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;spesifikasi negatif;fitur pengamannya jelek pengitai jari tidak;general negatif;general -2
ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;spesifikasi negatif;belom g susah deh indo udah g;general negatif;general -1
RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;spesifikasi negatif, harga negatif;ram tidak yange lebih dikit kasihnya mahal;spesifikasi negatif,harga negatif;spesifikasi -1,harga -2
belum bisa 5g hpnya, padahal harganya ga murah loh;spesifikasi negatif, harga negatif;belum bisa g hpnya harganya tidak murah loh;harga negatif;harga -1
ga ada radionya wkwk, dari dulu biasa denger radio jadi ga bisa deh gara-gara ganti hp;spesifikasi negatif;tidak radionya biasa denger radio tidak bisa deh gara gara ganti;general negatif;general -3
memori RAM nya kecil banget, gabisa pake banyak app sekaligus;spesifikasi negatif;memori ram kecil gabisa aplikasi;spesifikasi negatif;spesifikasi -1
layarnya masih pake IPS, ga setajam dan secerah OLED;spesifikasi negatif;layarnya ips tidak setajam secerah oled;general negatif;general -1
tidak mendukung buat pake headset nih, ga ada portnya jadi memang harus beli earpod;spesifikasi negatif;tidak mendukung headset tidak portnya harus beli earpod;general negatif;general -2
kecewa sih spesifikasinya ga sekeren yang diharapkan;spesifikasi negatif;kecewa spesifikasinya tidak sekeren diharapkan;general negatif;general -2
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli kameranya bagus;kamera positif;kamera 1
iphone xr rada berat deh tapi untuk kameranya ada effect effect glowing gitu;kamera positif, general negatif;xr rada berat deh kameranya effect effect glowing;kamera negatif;kamera -1
ganyesel deh beli iphone 11 kameranya bagus banget;kamera positif;ganyesel deh beli kameranya bagus;kamera positif;kamera 1
suka banget iphone 11 pro kamera ultra wide nya;kamera positif;suka kamera ultra wide;kamera positif;kamera 0
resolusinya sih kaya kamera slr;kamera positif;resolusinya kaya kamera slr;kamera positif;kamera 1
kenapa harus bagus banget nih kamera iphone;kamera positif;harus bagus kamera;kamera positif;kamera 1
kameranya bikin jatuh cinta;kamera positif;kameranya jatuh cinta;kamera positif;kamera 0
natural banget nih kamera;kamera positif;natural kamera;kamera positif;kamera 0
iphone makin keatas makin keren kameranya;kamera positif;makin keatas makin keren kameranya;kamera negatif;kamera -1
beli iphone karena suka kameranya haha;kamera positif;beli suka kameranya;kamera positif;kamera 0
terlalu natural untuk muka ku yang jerawatan;kamera negatif;natural muka ku jerawatan;general positif;general 0
kameranya tetep tidak bikin muka glowing;kamera negatif;kameranya tetep tidak muka glowing;kamera negatif;kamera -1
biasa aja asli kameranya;kamera negatif;biasa asli kameranya;kamera positif;kamera 0
beli iphone karena kamera doang juga masih banyak kali yang bagus;kamera negatif;beli kamera bagus;kamera positif;kamera 1
jatoh pas dibagian kamera langsung pecah;kamera negatif;jatoh pas dibagian kamera langsung pecah;kamera negatif;kamera -1
kameranya terlalu menonjol jadi kalo taro meja kaya tergesek;kamera negatif;kameranya menonjol taro meja kaya tergesek;kamera positif;kamera 1
kamera apa yang beda sih kaya sama aja;kamera negatif;kamera beda kaya;kamera positif;kamera 1
terus aja tambah kameranya sampe 5 banyak bener;kamera negatif;tambah kameranya sampe;kamera positif;kamera 0
biasa aja kameranya;kamera negatif;biasa kameranya;kamera negatif;kamera -1
pori pori keliatan banget pake nih kamera;kamera negatif;pori pori keliatan kamera;kamera positif;kamera 0
kok aku merasa tidak boros ya baterainya iphone xr;baterai positif;tidak boros baterainya xr;baterai negatif;baterai -2
cepet banget ke isi sih baterainya keren;baterai positif;cepat isi baterainya keren;baterai positif;baterai 1
wah makin irit ya baterainya;baterai positif;wah makin irit baterainya;baterai positif;baterai 0
gila ganyangka baterainya cepet ke isi;baterai positif;ganyangka baterainya cepat isi;baterai positif;baterai 1
wah udah pake sekian lama ternyata baterainya ga boros;baterai positif;wah udah sekian baterainya tidak boros;baterai positif;baterai 1
seneng banget charge sebentar langsung penuh;baterai positif;seneng charge sebentar langsung penuh;baterai positif;baterai 0
lebih cepet penuh baterainya daripada iphone dibawah x;baterai positif;lebih cepat penuh baterainya dibawah;baterai positif;baterai 2
ganyangka kirain iphone makin keatas baterainya makin boros ternyata malah irit;baterai positif;ganyangka kirain makin keatas baterainya makin boros malah irit;baterai negatif;baterai -1
salut sama baterai iphone xr cepet terisi dan ga boros;baterai positif;salut baterai xr cepat terisi tidak boros;baterai positif;baterai 1
iphone makin canggih dan baterainya pun gabakal dikomen boros lagi haha;baterai positif, general positif;makin canggih baterainya gabakal dikomen boros;baterai negatif;baterai -1
kata orang ga boros tapi kok tetep sih;baterai negatif;orang tidak boros tetep;general negatif;general -2
siapa yang bilang ga boros tetep boros tau;baterai negatif;bilang tidak boros tetep boros tau;general negatif;general -3
kesel banget iphone tuh hp terboros ya soal baterai;baterai negatif;kesel tuh terboros baterai;baterai positif;baterai 0
rasanya pingin baterai seirit nokia tapi hp tetep iphone haha boros banget sih asli iphone;baterai negatif;pingin baterai seirit nokia tetep boros asli;baterai positif;baterai 0
terimakasih baterai iphone membuat saya harus membawa charger terus;baterai negatif;terimakasih baterai harus membawa charger;baterai positif;baterai 0
sehari bisa berapa kali charge boros parah;baterai negatif;sehari bisa charge boros parah;baterai negatif;baterai -2
sudah setahun kirain bakal irit ternyata makin boros baterainya;baterai negatif;setahun kirain irit makin boros baterainya;baterai negatif;baterai -2
fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;baterai negatif, general positif;fitur bagus warna lucunya menggiurkan baterai harus dipikirkan ketahanannya;general positif,baterai positif;general 1,baterai 1
menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;baterai negatif, harga negatif;ku udah harga mahal baterai boros lengkap;harga negatif,baterai negatif;harga -2,baterai -2
harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;baterai negatif;harusnya makin canggih baterai daya tahan lebih;baterai negatif;baterai -1
iphone berguna bagi kalangan remaja ya;general positif;berguna kalangan remaja;general positif;general 1
fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;general positif;fitur ketagihan huaaa pgn beli;general positif;general 0
lucu banget warna warnanya iphone 11 series;general positif;bagus warna warnanya series;general positif;general 1
semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;general positif;semenjak teman teman ku meminjam foto foto;kamera positif;kamera 0
bingung banget mau pilih warna apa bagus semua;general positif;bingung pilih warna bagus;general negatif;general -2
yaAllah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;general positif;yaallah rejeki membeli series pingin warna midnight keren;general positif;general 1
iphone 11 series warna ungu nya lucu banget;general positif;series warna ungu bagus;general positif;general 1
warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;general positif;warna ungu midnight bagus jujur midnight lebih keren;general positif;general 3
kalo udah pake iphone 11 berasa mewah banget deh haha;general positif;udah berasa mewah deh;general positif;general 0
buat nonton enak sih layarnya makin gede;general positif;nonton enak layarnya makin;general positif;general 1
rentan banget nih lamalama iphone gampang retak jatoh sekali;general negatif;rentan lamalama gampang retak jatoh;general negatif;general -2
kecewa lebih suka fitur sidik jari daripada face id;general negatif, spesifikasi negatif;kecewa lebih suka fitur sidik jari face id;general positif;general 0
makin gede aja iphone ditangan ye;general negatif;makin ditangan;general negatif;general -1
layarnya gampang retak;general negatif;layarnya gampang retak;general negatif;general -1
kalo udah jatoh rentan banget retak;general negatif;udah jatoh rentan retak;general negatif;general -2
mau pake pelindung juga tetep retak;general negatif;pelindung tetep retak;general positif;general 0
model nya makin gede;general negatif;model makin;general negatif;general -1
kamera makin banyak, model nya itu aja;general negatif, kamera negatif;kamera makin model;kamera negatif;kamera -1
tolong modelnya bikin tangan gabisa pegang, gede banget;general negatif;modelnya tangan gabisa pegang;general positif;general 0
sebel banget jatoh langsung lecet pinggirannya;general negatif;sebel jatoh langsung lecet pinggirannya;general negatif;general -1
menurut ku sih sesuai ya harga dengan spesifikasinya;harga positif, spesifikasi positif;ku sesuai harga spesifikasinya;harga positif;harga 1
okelah harga segitu buat spesifikasi yang keren gini;harga positif, spesifikasi positif;okelah harga segitu spesifikasi keren gini;harga positif;harga 1
kata orang mahal, tapi menurut ku ya ada harga ada kualitas;harga positif;orang mahal ku harga kualitas;harga negatif;harga -2
iphone xr ga semahal apa yang gue kira haha;harga positif;xr tidak semahal gue;general negatif;general -1
wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;harga positif, kamera positif;wajar harga segitu wanita kamera hey keren;kamera positif,harga positif;kamera 1,harga 0
iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;harga positif;xr tidak mahal beli kayanya tidak sampe juta juta kurang;harga negatif;harga -3
iphone 11 masih murah sih segitu mah;harga positif;murah segitu mah;harga positif,baterai positif;harga 0,baterai 0
saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;harga positif;pengguna harga normal segitu;harga positif;harga 0
ga kaget sih liat harganya, sesuai lah gila sama spec nya;harga positif, spesifikasi positif;tidak kaget liat harganya sesuai spesifikasi;harga negatif;harga -1
menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;harga positif;wajar harga segitu series series target pasar segitu;harga positif;harga 0
jual ginjal ini mah iphone 11 series mahal ya;harga negatif;jual ginjal mah series mahal;harga negatif,baterai positif;harga -2,baterai 0
harga terjangkau buat yang kaya haha;harga negatif;harga terjangkau kaya;harga positif;harga 1
menguras dompet banget ya harganya;harga negatif;menguras dompet harganya;harga negatif;harga -1
bikin minder harganya;harga negatif;minder harganya;harga positif;harga 0
gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;harga negatif;gabisa lebih mahal woy beli harganya;harga negatif;harga -3
kenapa sih diatas 10 juta mulu harganya;harga negatif;diatas juta mulu harganya;harga positif;harga 0
udah canggih, harga ga canggih eh maksudnya mahal banget asli;harga negatif, general positif;udah canggih harga tidak canggih eh maksudnya mahal asli;harga negatif;harga -1
wah aku kaget melihat harganya, rasa ingin menjadi sultan seketika biar bisa beli;harga negatif;wah kaget harganya ingin sultan seketika biar bisa beli;harga positif;harga 1
mahal banget, letak murah nya dari segi apa sih buat yang bilang harganya murah;harga negatif;mahal letak murah segi bilang harganya murah;harga negatif;harga -2
mana yang bilang harga nya murah, mahal banget woy gabisa liat ya;harga negatif;bilang harga murah mahal woy gabisa liat;harga negatif;harga -2
spesifikasinya bagus tapi harga bikin kantong kering terimakasih;spesifikasi positif, harga negatif;spesifikasinya bagus harga kantong kering terimakasih;harga positif;harga 1
layarnya lebar banget jadi kalo main game enak;spesifikasi positif;layarnya lebar main game enak;general positif;general 1
jelas banget sih ini layarnya mulus banget dan jernih banget kalo lagi nonton kaya lagi nonton bioskop;spesifikasi positif;jelas layarnya mulus jernih nonton kaya nonton bioskop;general positif;general 2
suara jernih banget sih, kalo dengerin lagu kaya bass nya kerasa banget keren;spesifikasi positif;suara jernih dengerin lagu kaya bass kerasa keren;general positif;general 3
keren banget bisa mode gelap gitu;spesifikasi positif;keren bisa mode gelap;general positif;general 0
sistem operasinya tidak diragukan lagi, jadi ga lemot kalo main game;spesifikasi positif;sistem operasinya tidak diragukan tidak lemot main game;spesifikasi negatif;spesifikasi -3
spesifikasi nya lancar sih kalo lagi menjalankan usaha online;spesifikasi positif;spesifikasi lancar menjalankan usaha online;general positif;general 0
aku kira spesifikasinya bakal sama terus, ternyata ada aja yang bikin seneng buat punya iphone ini;spesifikasi positif;spesifikasinya seneng;general positif;general 0
gapernah kerasa lemot buka tutup antar aplikasi;spesifikasi positif;gapernah kerasa lemot buka tutup aplikasi;general negatif;general -1
gapernah ragu sama spesifikasinya;spesifikasi positif;gapernah ragu spesifikasinya;general negatif;general -1
masa udah gabisa pake headset yang colok, harus airpods bluetooth;spesifikasi negatif;udah gabisa headset colok harus airpods bluetooth;general positif;general 0
iphone x series ataupun 11 series udah face id terus, padahal masih suka sidik jari;spesifikasi negatif;series series udah face id suka sidik jari;general positif;general 0
selalu berasa kurang woy pake ram nya, langsung penuh padahal kaya baru dikit install aplikasi nya;spesifikasi negatif;berasa kurang woy ram langsung penuh kaya dikit install aplikasi;spesifikasi negatif;spesifikasi -1
jadi aneh ketika udah gaada tombol tengah nya;spesifikasi negatif;aneh udah tidak tombol;general negatif;general -1
kemana woy lubang headset nya;spesifikasi negatif;kemana woy lubang headset;general positif;general 0
gini deh kalo memori cuman internal doang, langsung penuh;spesifikasi negatif;gini deh memori cuman internal langsung penuh;spesifikasi positif;spesifikasi 0
harga makin mahal, harusnya mendukung 5g biar nanti kalo indonesia udah masuk 5g kan ga perlu ganti hp terus;spesifikasi negatif, harga negatif;harga makin mahal harusnya mendukung g biar indonesia udah masuk g tidak ganti;harga negatif;harga -1
spesifikasi nya biasa aja, belum bikin wah;spesifikasi negatif;spesifikasi biasa belum wah;general positif;general 0
harusnya fitur makin bertambah, malah ada yang dikurangin dan diganti malah jadi gimana gitu;spesifikasi negatif;harusnya fitur makin bertambah malah dikurangin diganti malah gimana;general negatif;general -1
memori RAM nya sih yang bikin maju mundur buat beli, merasa kurang;spesifikasi negatif;memori ram maju mundur beli kurang;spesifikasi negatif;spesifikasi -1
suka banget ih sama kameranya iphone x bagus banget aku jadi glowing glowing manja gitu;kamera positif;suka ih kameranya bagus glowing glowing manja;kamera negatif;kamera -1
iphone 11 bagus sih kameranya cocok banget buat gua kalo mau hunting foto;kamera positif;bagus kameranya cocok hunting foto;kamera positif;kamera 1
iphone x cuma 2716 mAh tapi harganya sampe 10 juta lebih gak cocok banget sih;baterai negatif, harga negatif;cuma mah harganya sampe juta lebih tidak cocok;baterai positif,harga positif;baterai 0,harga 0
RAM 3 GB doang nyesel beli iphone x gak bisa dipake buat main CODM;spesifikasi negatif;ram gb nyesel beli tidak bisa main codm;spesifikasi negatif;spesifikasi -2
kalo gua sih tim iphone lah, bentuknya bagus aestetik, kameranya juga bagus gak kayak sumsang;general positif, kamera positif;tim bentuknya bagus aestetik kameranya bagus tidak kayak sumsang;kamera positif;kamera 1
denger denger sumsang sering meledak, ya iyalah kualitas sumsang mah gak ada apa apanya dibanding iphone x lebih bagus diliat dari segala aspek juga;general positif;denger denger sumsang meledak iyalah kualitas sumsang mah tidak apanya dibanding lebih bagus diliat aspek;baterai negatif;baterai -1
semenjak pake iphone 11 gaya dikit langsung cekrek, kameranya emang terbaik sih ini;kamera positif;semenjak gaya dikit langsung cekrek kameranya terbaik;kamera positif;kamera 1
haha iya sih iphone kameranya emang terbaik tapi gak suka sama baterainya yang cepet abis;kamera positif, baterai negatif;iya kameranya terbaik tidak suka baterainya cepat abis;kamera negatif,baterai positif;kamera -1,baterai 1
gila sih gak nyangka banget aku dibeliin iphone 11 sama bebeb warnanya ungu gitu lagi kan lucu suka deh;general positif;tidak nyangka dibeliin bebeb warnanya ungu bagus suka deh;general negatif;general -1
kalo diliat dari spesifikasinya yang bagus gini mah harganya masih normal sih, terbaik lah iphone 11;spesifikasi positif, harga positif;diliat spesifikasinya bagus gini mah harganya normal terbaik;baterai positif,harga positif;baterai 1,harga 1
dulu sebelum pake iphone gak pernah masuk fyp di tiktok, sekarang pake iphone langsung fyp emang kameranya bagus bisa memunculkan kecantikan sejati aku;kamera positif;tidak masuk fyp tiktok langsung fyp kameranya bagus bisa memunculkan kecantikan sejati;kamera negatif;kamera -1
kurang suka sama iphone soalnya harganya mahal walaupun spesifikasinya bagus;harga negatif, spesifikasi positif;kurang suka harganya mahal walaupun spesifikasinya bagus;harga negatif;harga -1
guys kalo kalian mau tau saya ngerekam pake kamera apa saya itu cuma pake kamera dari iphone 11 guys, beli deh kameranya bagus banget;kamera positif;tau ngerekam kamera cuma kamera beli deh kameranya bagus;kamera positif;kamera 1
masih bahas tentang iphone nih, kenapa gua suka banget iphone karena baterainya itu awet bagus banget guys cocok buat yang suka main hp seharian;baterai positif;bahas suka baterainya awet bagus cocok suka main seharian;baterai positif;baterai 2
halah anak iphone apa sih bagusnya iphone gue gak suka kameranya jelek, gak suka harganya mahal, gak suka bentuknya jelek ngikutin samsung, gak suka baterainya juga jelek, spesifikasinya apalagi duh gak suka deh;kamera negatif, harga negatif, general negatif, baterai negatif, spesifikasi negatif;halah anak bagusnya gue tidak suka kameranya jelek tidak suka harganya mahal tidak suka bentuknya jelek ngikutin samsung tidak suka baterainya jelek spesifikasinya tidak suka deh;kamera negatif,harga negatif,baterai negatif;kamera -2,harga -3,baterai -3
iphone speakernya jelek ah gak suka kresek kresek gitu;general negatif;speakernya jelek ah tidak suka kresek kresek;general negatif;general -3
apaan nih iphone ih benci banget sama hp kayak gini masa chargernya baru sebulan udah rusak;baterai negatif;ih benci kayak gini chargernya sebulan udah rusak;baterai negatif;baterai -2
itu mah lu aja yang gak bisa ngerawat bro iphone gua chargernya bagus tuh malah awet juga;baterai positif;mah tidak bisa ngerawat chargernya bagus tuh malah awet;baterai negatif;baterai -1
iphone hp berkelas, kameranya terbaik suka banget deh banyak juga youtuber yang pake iphone;kamera positif;berkelas kameranya terbaik suka deh youtuber;kamera positif;kamera 1
kamera iphone tu bagus banget coy belom pernah kan lu berasa ganteng di foto haha;kamera positif;kamera bagus coy belom berasa ganteng foto;kamera positif;kamera 1
kamera iphone terbaik gak kayak samsung cuih;kamera positif;kamera terbaik tidak kayak samsung cuih;kamera positif;kamera 0
menurut gue iphone itu harganya lumayan mahal sih dan gak sesuai sama spesifikasinya yang kurang bagus;harga negatif, spesifikasi negatif;gue harganya lumayan mahal tidak sesuai spesifikasinya kurang bagus;harga positif;harga 1
Layarnya terlalu kecil terus kameranya juga kurang bagus, gagal jadi artis tiktok deh ini mah dasar iphone;general negatif, kamera negatif;layarnya kecil kameranya kurang bagus gagal artis tiktok deh mah dasar;general negatif,kamera negatif,baterai positif;general -1,kamera -1,baterai 0
bun iphone harganya seperti bajingan;harga negatif;bun harganya;harga positif;harga 0
iphone baterainya sekarat iphone baterainya sekarat, mati lebih cepat mati lebih cepat;baterai negatif;baterainya sekarat baterainya sekarat mati lebih cepat mati lebih cepat;baterai positif;baterai 2
terbaring tersentak tertawa tertawa dengan air mata mengingat bodohnya harga iphone dan kita yang masih saja beli;harga negatif;terbaring tersentak tertawa tertawa air mata bodohnya harga beli;harga positif;harga 0
iphone beranjak bangkrut spesifikasi jauh dari seharusnya bagai bintang yang jatuh mati lebih cepat;spesifikasi negatif;beranjak bangkrut spesifikasi seharusnya bintang jatuh mati lebih cepat;general negatif;general -1
speaker iphone menggonggong bak suara anjing bangsat;general negatif;speaker menggonggong bak suara anjing bangsat;general negatif;general -2
bun aku masih tak mengerti iphone harga mahalnya berenang di kepala;harga negatif;bun tidak mengerti harga mahalnya berenang kepala;harga negatif;harga -1
aku masih ada sampai di sini pakai iphone susah setengah mati UI UX nya gak bisa diganti apa ah;general negatif;pakai susah mati ui ux tidak bisa diganti ah;general negatif;general -3
aku masih ada sampai di sini pakai iphone lemot setengah mati spesifikasinya parah banget dah;spesifikasi negatif;pakai lemot mati spesifikasinya parah;general negatif;general -3
kau memang hp sedikit fitur bolehkah aku banting aja iphone kampret;general negatif;kau sedikit fitur banting kampret;general negatif;general -1
kau memang hp tak kasat rasa masang harga mahal gila iphone gak ngotak;harga negatif;kau tidak kasat masang harga mahal tidak ngotak;harga negatif;harga -1
tadi pagi aku masih menangis pada iphone yang harganya mahal naudzubillah;harga negatif;pagi menangis harganya mahal naudzubillah;harga negatif;harga -1
katanya mimpiku kan terwujud tapi fitur iphone itu mimpi buruk;general negatif;mimpiku terwujud fitur mimpi buruk;general negatif;general -2
sempat berpikir masih bermimpi bertahun berlanjut pakai iphone warna mu yang memudar saksinya akhirnya aku ganti aja jelek amat sih ini iphone;general negatif;berpikir bermimpi bertahun berlanjut pakai warna memudar saksinya ganti jelek;general negatif;general -1
Lah ini RAM segini doang seriusan iphone nih jelek banget mending advan dah;spesifikasi negatif;ram segini seriusan jelek lebih advan;spesifikasi negatif;spesifikasi -1
iphone harga doang mahal jemput cewe depan gang;harga negatif;harga mahal jemput cewe gang;harga negatif;harga -2
seriusan nih gak ada memori eksternalnya ya ampun hp macam apa ini buruk sekali;spesifikasi negatif;seriusan tidak memori eksternalnya ampun buruk;spesifikasi negatif;spesifikasi -1
iphone 11 ni hp apa dumbell sih gua pake tiga hari bicep gua gede berat amat ah jelek;general negatif;dumbell bicep berat ah jelek;general negatif;general -2
ukurannya kegedan coy gak bisa masuk saku jelek banget dah ni hp;general negatif;ukurannya kegedan coy tidak bisa masuk saku jelek;general negatif;general -2
hp jaman sekarang mah harusnya ada pemindai sidik jarinya lah ini iphone kok gak ada jelek banget dah;spesifikasi negatif;jaman mah harusnya pemindai sidik jarinya tidak jelek;baterai negatif;baterai -2
sekarang jamannya 5g boss iphone masa belom 5g sih kuno cacat;spesifikasi negatif;jamannya g boss belom g kuno cacat;general negatif;general -3
port buat headset gak ada di iphone jelek banget dah mending balik pake walkman;spesifikasi negatif;port headset tidak jelek lebih walkman;general negatif;general -2
iphone kameranya penuh kepalsuan penipu munafik calon penghuni neraka bakar aja ni hp;kamera negatif;kameranya penuh kepalsuan penipu munafik calon penghuni neraka bakar;kamera negatif;kamera -3
