Tweet;label;Tweet_Parsed;sentiment
sehari bisa berapa kali charge boros parah;baterai negatif;charge boros parah;-10
sudah setahun kirain bakal irit ternyata makin boros baterainya;baterai negatif;kirain irit nyata boros baterai;-6
fitur bagus, warna lucunya menggiurkan tapi baterai yang harus dipikirkan ketahanannya;baterai negatif, general positif;fitur bagus warna lucu giur baterai pikir tahan;-6
menurut ku sih ya, udah harga mahal baterai boros lengkap sudah;baterai negatif, harga negatif;ku udah harga mahal baterai boros lengkap;-5
harusnya kalau makin canggih, baterai juga dong daya tahan nya lebih lama;baterai negatif;canggih baterai daya tahan;1
iphone berguna bagi kalangan remaja ya;general positif;kalang remaja;-2
fitur iphone selalu bikin ketagihan huaaa pgn beli iphone 11;general positif;fitur tagih huaaa pgn beli;-4
lucu banget warna warnanya iphone 11 series;general positif;bagus warna warna series;-2
semenjak pake iphone 11 pro teman teman ku selalu meminjam untuk foto foto;general positif;semenjak teman teman ku pinjam foto foto;6
bingung banget mau pilih warna apa bagus semua;general positif;bingung pilih warna bagus;-4
yaAllah beri aku rejeki untuk membeli iphone 11 series pingin warna midnight keren banget;general positif;yaallah rejeki beli series pingin warna midnight keren;5
iphone 11 series warna ungu nya lucu banget;general positif;series warna ungu bagus;-2
warna ungu ataupun yang midnight sama sama bagus, tapi jujur midnight lebih keren;general positif;warna ungu midnight bagus jujur midnight keren;1
kalo udah pake iphone 11 berasa mewah banget deh haha;general positif;udah asa mewah deh;1
buat nonton enak sih layarnya makin gede;general positif;nonton enak layar;1
rentan banget nih lamalama iphone gampang retak jatoh sekali;general negatif;rentan lamalama gampang retak jatoh;-7
kecewa lebih suka fitur sidik jari daripada face id;general negatif, spesifikasi negatif;kecewa suka fitur sidik jari face id;-2
makin gede aja iphone ditangan ye;general negatif;tang;0
layarnya gampang retak;general negatif;layar gampang retak;-3
kalo udah jatoh rentan banget retak;general negatif;udah jatoh rentan retak;-8
mau pake pelindung juga tetep retak;general negatif;lindung tetep retak;0
model nya makin gede;general negatif;model;3
kamera makin banyak, model nya itu aja;general negatif, kamera negatif;kamera model;3
tolong modelnya bikin tangan gabisa pegang, gede banget;general negatif;model tangan gabisa pegang;2
sebel banget jatoh langsung lecet pinggirannya;general negatif;sebel jatoh langsung lecet pinggir;-10
menurut ku sih sesuai ya harga dengan spesifikasinya;harga positif, spesifikasi positif;ku sesuai harga spesifikasi;9
okelah harga segitu buat spesifikasi yang keren gini;harga positif, spesifikasi positif;oke harga segitu spesifikasi keren gin;5
kata orang mahal, tapi menurut ku ya ada harga ada kualitas;harga positif;orang mahal ku harga kualitas;8
iphone xr ga semahal apa yang gue kira haha;harga positif;xr mahal gue;1
wajar lah harga segitu, kalo buat wanita kamera nya hey keren banget;harga positif, kamera positif;wajar harga segitu wanita kamera hey keren;-2
iphone xr ga mahal kok, aku beli kayanya ga sampe 10 juta bahkan 9 juta kurang;harga positif;xr mahal beli kaya sampe juta juta;4
iphone 11 masih murah sih segitu mah;harga positif;murah segitu mah;-2
saya yang sudah lama menjadi iphone user, saat mengetahui harga iphone 11 ya normal emang segitu kan;harga positif;harga normal segitu;1
ga kaget sih liat harganya, sesuai lah gila sama spec nya;harga positif, spesifikasi positif;kaget liat harga sesuai spesifikasi;10
menurut saya wajar aja harga segitu buat iphone x series ataupun 11 series, karena target pasar nya iphone memang segitu;harga positif;wajar harga segitu series series target pasar segitu;-5
jual ginjal ini mah iphone 11 series mahal ya;harga negatif;jual ginjal mah series mahal;2
harga terjangkau buat yang kaya haha;harga negatif;harga jangkau kaya;3
menguras dompet banget ya harganya;harga negatif;uras dompet harga;0
bikin minder harganya;harga negatif;minder harga;3
gabisa lebih mahal lagi woy iphone 11? mau beli tapi gila banget harganya;harga negatif;gabisa mahal woy beli harga;3
kenapa sih diatas 10 juta mulu harganya;harga negatif;juta mulu harga;6
udah canggih, harga ga canggih eh maksudnya mahal banget asli;harga negatif, general positif;udah canggih harga canggih eh maksud mahal asli;8
wah aku kaget melihat harganya, rasa ingin menjadi sultan seketika biar bisa beli;harga negatif;kaget lihat harga sultan biar beli;3
mahal banget, letak murah nya dari segi apa sih buat yang bilang harganya murah;harga negatif;mahal letak murah segi bilang harga murah;2
mana yang bilang harga nya murah, mahal banget woy gabisa liat ya;harga negatif;bilang harga murah mahal woy gabisa liat;6
spesifikasinya bagus tapi harga bikin kantong kering terimakasih;spesifikasi positif, harga negatif;spesifikasi bagus harga kantong kering terimakasih;3
layarnya lebar banget jadi kalo main game enak;spesifikasi positif;layar lebar main game enak;3
jelas banget sih ini layarnya mulus banget dan jernih banget kalo lagi nonton kaya lagi nonton bioskop;spesifikasi positif;layar mulus jernih nonton kaya nonton bioskop;3
suara jernih banget sih, kalo dengerin lagu kaya bass nya kerasa banget keren;spesifikasi positif;suara jernih dengerin lagu kaya bass keren;10
keren banget bisa mode gelap gitu;spesifikasi positif;keren mode gelap;-4
sistem operasinya tidak diragukan lagi, jadi ga lemot kalo main game;spesifikasi positif;sistem operasi ragu lot main game;-9
spesifikasi nya lancar sih kalo lagi menjalankan usaha online;spesifikasi positif;spesifikasi lancar jalan usaha online;2
aku kira spesifikasinya bakal sama terus, ternyata ada aja yang bikin seneng buat punya iphone ini;spesifikasi positif;spesifikasi nyata neng;9
gapernah kerasa lemot buka tutup antar aplikasi;spesifikasi positif;gapernah lot buka tutup aplikasi;-14
gapernah ragu sama spesifikasinya;spesifikasi positif;gapernah ragu spesifikasi;-3
masa udah gabisa pake headset yang colok, harus airpods bluetooth;spesifikasi negatif;udah gabisa headset colok airpods bluetooth;-1
iphone x series ataupun 11 series udah face id terus, padahal masih suka sidik jari;spesifikasi negatif;series series udah face id suka sidik jari;-2
selalu berasa kurang woy pake ram nya, langsung penuh padahal kaya baru dikit install aplikasi nya;spesifikasi negatif;asa woy ram langsung penuh kaya dikit install aplikasi;-4
jadi aneh ketika udah gaada tombol tengah nya;spesifikasi negatif;aneh udah tombol;0
kemana woy lubang headset nya;spesifikasi negatif;woy lubang headset;-3
gini deh kalo memori cuman internal doang, langsung penuh;spesifikasi negatif;gin deh memori cuman internal langsung penuh;3
harga makin mahal, harusnya mendukung 5g biar nanti kalo indonesia udah masuk 5g kan ga perlu ganti hp terus;spesifikasi negatif, harga negatif;harga mahal dukung g biar indonesia udah masuk g ganti;3
spesifikasi nya biasa aja, belum bikin wah;spesifikasi negatif;spesifikasi;3
harusnya fitur makin bertambah, malah ada yang dikurangin dan diganti malah jadi gimana gitu;spesifikasi negatif;fitur rangin ganti gimana;0
memori RAM nya sih yang bikin maju mundur buat beli, merasa kurang;spesifikasi negatif;memori ram maju mundur beli;-1
suka banget ih sama kameranya iphone x bagus banget aku jadi glowing glowing manja gitu;kamera positif;suka ih kamera bagus glowing glowing manja;2
iphone 11 bagus sih kameranya cocok banget buat gua kalo mau hunting foto;kamera positif;bagus kamera cocok hunting foto;2
iphone x cuma 2716 mAh tapi harganya sampe 10 juta lebih gak cocok banget sih;baterai negatif, harga negatif;mah harga sampe juta cocok;6
RAM 3 GB doang nyesel beli iphone x gak bisa dipake buat main CODM;spesifikasi negatif;ram gb nyesel beli main codm;-6
kalo gua sih tim iphone lah, bentuknya bagus aestetik, kameranya juga bagus gak kayak sumsang;general positif, kamera positif;tim bentuk bagus aestetik kamera bagus kayak sumsang;-7
denger denger sumsang sering meledak, ya iyalah kualitas sumsang mah gak ada apa apanya dibanding iphone x lebih bagus diliat dari segala aspek juga;general positif;denger denger sumsang ledak iya kualitas sumsang mah banding bagus liat aspek;-10
semenjak pake iphone 11 gaya dikit langsung cekrek, kameranya emang terbaik sih ini;kamera positif;semenjak gaya dikit langsung cekrek kamera;-1
haha iya sih iphone kameranya emang terbaik tapi gak suka sama baterainya yang cepet abis;kamera positif, baterai negatif;iya kamera suka baterai cepat abis;-2
gila sih gak nyangka banget aku dibeliin iphone 11 sama bebeb warnanya ungu gitu lagi kan lucu suka deh;general positif;nyangka dibeliin bebeb warna ungu bagus suka deh;-4
kalo diliat dari spesifikasinya yang bagus gini mah harganya masih normal sih, terbaik lah iphone 11;spesifikasi positif, harga positif;liat spesifikasi bagus gin mah harga normal;6
dulu sebelum pake iphone gak pernah masuk fyp di tiktok, sekarang pake iphone langsung fyp emang kameranya bagus bisa memunculkan kecantikan sejati aku;kamera positif;masuk fyp tiktok langsung fyp kamera bagus muncul cantik sejati;-3
kurang suka sama iphone soalnya harganya mahal walaupun spesifikasinya bagus;harga negatif, spesifikasi positif;suka harga mahal spesifikasi bagus;7
guys kalo kalian mau tau saya ngerekam pake kamera apa saya itu cuma pake kamera dari iphone 11 guys, beli deh kameranya bagus banget;kamera positif;tau ngerekam kamera kamera beli deh kamera bagus;-7
masih bahas tentang iphone nih, kenapa gua suka banget iphone karena baterainya itu awet bagus banget guys cocok buat yang suka main hp seharian;baterai positif;bahas suka baterai awet bagus cocok suka main;6
halah anak iphone apa sih bagusnya iphone gue gak suka kameranya jelek, gak suka harganya mahal, gak suka bentuknya jelek ngikutin samsung, gak suka baterainya juga jelek, spesifikasinya apalagi duh gak suka deh;kamera negatif, harga negatif, general negatif, baterai negatif, spesifikasi negatif;halah anak bagus gue suka kamera jelek suka harga mahal suka bentuk jelek ngikutin samsung suka baterai jelek spesifikasi suka deh;-9
iphone speakernya jelek ah gak suka kresek kresek gitu;general negatif;speakernya jelek ah suka kresek kresek;-3
apaan nih iphone ih benci banget sama hp kayak gini masa chargernya baru sebulan udah rusak;baterai negatif;ih benci kayak gin chargernya udah rusak;-5
itu mah lu aja yang gak bisa ngerawat bro iphone gua chargernya bagus tuh malah awet juga;baterai positif;mah ngerawat chargernya bagus tuh awet;2
iphone hp berkelas, kameranya terbaik suka banget deh banyak juga youtuber yang pake iphone;kamera positif;kelas kamera suka deh youtuber;-1
kamera iphone tu bagus banget coy belom pernah kan lu berasa ganteng di foto haha;kamera positif;kamera bagus coy bom asa ganteng foto;2
kamera iphone terbaik gak kayak samsung cuih;kamera positif;kamera kayak samsung cuih;-3
menurut gue iphone itu harganya lumayan mahal sih dan gak sesuai sama spesifikasinya yang kurang bagus;harga negatif, spesifikasi negatif;gue harga lumayan mahal sesuai spesifikasi bagus;7
Layarnya terlalu kecil terus kameranya juga kurang bagus, gagal jadi artis tiktok deh ini mah dasar iphone;general negatif, kamera negatif;layar kamera bagus gagal artis tiktok deh mah dasar;-4
bun iphone harganya seperti bajingan;harga negatif;bun harga;3
iphone baterainya sekarat iphone baterainya sekarat, mati lebih cepat mati lebih cepat;baterai negatif;baterai sekarat baterai sekarat mati cepat mati cepat;-8
terbaring tersentak tertawa tertawa dengan air mata mengingat bodohnya harga iphone dan kita yang masih saja beli;harga negatif;baring sentak tertawa tertawa air mata bodoh harga beli;11
iphone beranjak bangkrut spesifikasi jauh dari seharusnya bagai bintang yang jatuh mati lebih cepat;spesifikasi negatif;anjak bangkrut spesifikasi bintang jatuh mati cepat;-8
speaker iphone menggonggong bak suara anjing bangsat;general negatif;speaker gonggong bak suara anjing bangsat;-8
bun aku masih tak mengerti iphone harga mahalnya berenang di kepala;harga negatif;bun erti harga mahal renang kepala;5
aku masih ada sampai di sini pakai iphone susah setengah mati UI UX nya gak bisa diganti apa ah;general negatif;pakai susah mati ui ux ganti ah;-4
aku masih ada sampai di sini pakai iphone lemot setengah mati spesifikasinya parah banget dah;spesifikasi negatif;pakai lot mati spesifikasi parah;-8
kau memang hp sedikit fitur bolehkah aku banting aja iphone kampret;general negatif;kau fitur banting kampret;-7
kau memang hp tak kasat rasa masang harga mahal gila iphone gak ngotak;harga negatif;kau kasat masang harga mahal ngotak;4
tadi pagi aku masih menangis pada iphone yang harganya mahal naudzubillah;harga negatif;pagi menang harga mahal naudzubillah;-4
katanya mimpiku kan terwujud tapi fitur iphone itu mimpi buruk;general negatif;mimpi wujud fitur mimpi buruk;1
sempat berpikir masih bermimpi bertahun berlanjut pakai iphone warna mu yang memudar saksinya akhirnya aku ganti aja jelek amat sih ini iphone;general negatif;pikir mimpi pakai warna pudar saksi ganti jelek;-4
Lah ini RAM segini doang seriusan iphone nih jelek banget mending advan dah;spesifikasi negatif;ram gin serius jelek advan;-10
iphone harga doang mahal jemput cewe depan gang;harga negatif;harga mahal jemput cewe gang;0
seriusan nih gak ada memori eksternalnya ya ampun hp macam apa ini buruk sekali;spesifikasi negatif;serius memori eksternal ampun buruk;-12
iphone 11 ni hp apa dumbell sih gua pake tiga hari bicep gua gede berat amat ah jelek;general negatif;dumbell bicep berat ah jelek;-5
ukurannya kegedan coy gak bisa masuk saku jelek banget dah ni hp;general negatif;ukur kegedan coy masuk saku jelek;-5
hp jaman sekarang mah harusnya ada pemindai sidik jarinya lah ini iphone kok gak ada jelek banget dah;spesifikasi negatif;jaman mah pindai sidik jari jelek;-11
sekarang jamannya 5g boss iphone masa belom 5g sih kuno cacat;spesifikasi negatif;jaman g boss bom g kuno cacat;-12
port buat headset gak ada di iphone jelek banget dah mending balik pake walkman;spesifikasi negatif;port headset jelek walkman;-5
iphone kameranya penuh kepalsuan penipu munafik calon penghuni neraka bakar aja ni hp;kamera negatif;kamera penuh palsu tipu munafik calon huni neraka bakar;-10
iphone gak cocok buat foto jarak dekat jadi fotonya harus dari jauh udah kayak hubungan kita yang jauh;kamera negatif;cocok foto jarak foto udah kayak hubung;2
pada lebay banget sih sama kamera iphone padahal gitu doang biasa aja malah menurut gue kurang;kamera negatif;lebay kamera gue;-4
iphone kameranya gak bagus di tempat gelap gan;kamera negatif;kamera bagus gelap gan;-6
iphone 11 bagus nih lucu warnanya;general positif;bagus bagus warna;-4
bagus sih lucu juga warnanya iphone 11;general positif;bagus bagus warna;-4
lucu banget bagus suka sama warna iphone 11;general positif;bagus bagus suka warna;-2
bentuknya bagus suka sama bentuk iphone;general positif;bentuk bagus suka bentuk;8
speaker nya mantap coy suaranya jernih keren iphone;general positif;speaker mantap coy suara jernih keren;10
layarnya jernih cocok buat nonton anime pake iphone;general positif;layar jernih cocok nonton anime;5
suka deh sama warna iphone x;general positif;suka deh warna;2
termasuk murah sih harga iphone mah sesuai sama kualitas;harga positif;masuk murah harga mah sesuai kualitas;8
kualitas bagus harganya ya sesuai lah untuk iphone;harga positif;kualitas bagus harga sesuai;8
bagi gua sih iphone murah ya kualitas juga oke jadi harganya pas lah;harga positif;murah kualitas oke harga pas;13
harga iphone emang udah paling pas;harga positif;harga udah pas;6
murah kok harganya cuma nabung 3 bulan juga udah kebeli iphone;harga positif;murah harga nabung udah kebel;4
kualitas oke harga juga pas mantap iphone;harga positif;kualitas oke harga pas mantap;17
cari hp berkualitas dan harga terjangkau ya iphone;harga positif;cari kualitas harga jangkau;4
ayo buruan beli iphone mumpung harganya murah haha;harga positif;buru beli mumpung harga murah;0
pas kok harga sama kualitas kalo untuk iphone;harga positif;pas harga kualitas;10
ram bagus cpu bagus iphone mantap;spesifikasi positif;ram bagus cpu bagus mantap;1
cpu bagus nih iphone;spesifikasi positif;cpu bagus;-2
iphone spesifikasinya bagus sih enak pakenya;spesifikasi positif;spesifikasi bagus enak pakenya;2
butuh spek bagus buat hp ya iphone;spesifikasi positif;butuh spek bagus;-7
mau hp spek bagus ya jelas iphone;spesifikasi positif;spek bagus;-2
spesifikasi iphone bagus banget terbaik;spesifikasi positif;spesifikasi bagus;1
hp yang speknya bagus ya iphone lah;spesifikasi positif;speknya bagus;-2
iphone speknya lebih bagus daripada samsung;spesifikasi positif;speknya bagus samsung;-2
iphone speknya bagus gak kayak hp lain;spesifikasi positif;speknya bagus kayak;-5
kamera iphone burem mending dslr;kamera negatif;kamera burem dslr;0
kamera iphone susah fokus jelek ah;kamera negatif;kamera susah fokus jelek ah;-7
beli iphone karena kameranya tapi ternyata bikin kecewa;kamera negatif;beli kamera nyata kecewa;1
kamera iphone mah jelek;kamera negatif;kamera mah jelek;-5
bagus baterai nya awet nih iphone;baterai positif;bagus baterai awet;-1
baterainya awet kok bagus juga iphone;baterai positif;baterai awet bagus;-1
baterai iphone awet kayak baterai abc;baterai positif;baterai awet kayak baterai abc;-5
baterai bisa seharian kok bagus iphone;baterai positif;baterai bagus;-5
baterai terbaik ya iphone;baterai positif;baterai;-3
baterai bagus dan awet ya cuma iphone;baterai positif;baterai bagus awet;-1
baterai awet nan bagus emang iphone doang sih;baterai positif;baterai awet nan bagus;-1
iphone emang baterainya terbaik sih;baterai positif;baterai;-3
iphone baterai ampas cepet abis;baterai negatif;baterai ampas cepat abis;-7
iphone baterainya kayak tai;baterai negatif;baterai kayak tai;-11
baterai iphone kayak anjing;baterai negatif;baterai kayak anjing;-10
baterai iphone bangsat anjing tai babi;baterai negatif;baterai bangsat anjing tai;-17
baterai iphone boros bangsat;baterai negatif;baterai boros bangsat;-13
ukurannya ideal banget jadi enak pas digenggam;general positif;ukur ideal enak pas genggam;10
cakep banget warna hp nya;general positif;bagus warna;-2
layar nya enak dan nyaman buat nonton film atau youtube;general positif;layar enak nyaman nonton film youtube;5
buat main oke banget sih desainnya;general positif;main oke desain;6
desain iphone 11 ini emang bagus banget pantes banyak peminat;general positif;desain bagus pantes minat;4
warna hitam nya cool banget;general positif;warna hitam cool;-2
bisa dibilang iphone 11 ini ideal banget dari desain dan fitur nya;general positif;bilang ideal desain fitur;7
pilihan warna nya sangat menarik sampai bingung memilihnya;general positif;pilih warna tarik bingung pilih;-2
desain nya premium banget saya suka;general positif;desain premium suka;8
bentuknya desainnya bagus banget simpel tapi keren;general positif;bentuk desain bagus simpel keren;9
hp nya lumayan berat jadi gak bisa main permainan terlalu lama;general negatif;lumayan berat main main;-1
masalah iphone 11 tuh hp nya agak berat ya;general negatif;tuh berat;0
agak kurang sih menurut saya layar nya;general negatif;layar;0
menurut saya kegedean sih layarnya;general negatif;gede layar;0
ukurannya gede jadi gak bisa masuk saku;general negatif;ukur masuk saku;0
menyesal beli iphone 11 sebab super berat untuk tangan saya;general negatif;sesal beli super berat tangan;-6
desain hp nya mengkilap jadi gampang keliatan kalau ada lecet;general negatif;desain kilap gampang liat lecet;2
poni di atas layar mengganggu banget;general negatif;poni layar ganggu;-4
lebih suka android dah daripada iphone;general negatif;suka android;2
iphone tuh terlalu eksklusif jadi susah nyambung kemanamana ga kaya android;general negatif;tuh eksklusif susah nyambung kemanamana kaya android;1
wajar sih harga segini karena emang bagus banget;harga positif;wajar harga gin bagus;-1
gak menyesal beli iphone dengan harga segitu;harga positif;sesal beli harga segitu;-4
harganya wajar itung itung investasi;harga positif;harga wajar itung itung investasi;1
asli emang bener hp ini sesuai dengan harganya mantap emang;harga positif;asli sesuai harga mantap;13
harga nya setimpal untuk pemakaian jangka lama;harga positif;harga timpal pakai jangka;8
iPhone X kini jauh lebih murah;harga positif;murah;1
harga iphone x sudah lebih terjangkau;harga positif;harga jangkau;3
gue tiap tahun beli iphone tapi isi dompet gue masih aman ko;harga positif;gue beli isi dompet gue aman;-4
puas banget sih harga segini apalagi dipake buat bisnis ga lemot;harga positif;puas harga gin bisnis lot;4
menurut gue harga iphone tuh sesuai sama kualitasnya;harga positif;gue harga tuh sesuai kualitas;10
harganya lumayan mahal sih untuk rakyat jelata kaya aku;harga negatif;harga lumayan mahal rakyat jelata kaya;-2
emang mahal sih hp dengan harga segini;harga negatif;mahal harga gin;4
harganya masih tetap mahal walaupun varian termurah;harga negatif;harga mahal varian murah;4
ga sanggup beli iphone 11 cuma bisa liat ulasannya aja;harga negatif;sanggup beli liat ulas;2
nabung satu abad baru bisa beli iphone 11;harga negatif;nabung abad beli;-1
harga iphone x sulit diterima akal;harga negatif;harga sulit terima akal;5
iphone 11 masih kemahalan banget padahal kualitasnya gak jauh beda sama iphone x;harga negatif;mahal kualitas beda;3
harganya mahal bikin ciut untuk membeli;harga negatif;harga mahal ciut beli;0
salah satu kelemahannya adalah harganya yang sangat mahal;harga negatif;salah lemah harga mahal;1
kapan lagi coba gua jual ginjal demi boba alias iphone11;harga negatif;coba jual ginjal boba alias;2
speknya mantap banget main pubg ga lemot;spesifikasi positif;speknya mantap main pubg lot;0
sistem operasinya bagus banget;spesifikasi positif;sistem operasi bagus;-5
speknya bagus jadi enak banget buat main game dan buat kerja;spesifikasi positif;speknya bagus enak main game kerja;3
suka banget ios pasti premium kualitasnya;spesifikasi positif;suka ios premium kualitas;8
puas banget sistem operasinya lebih kencang dan bebas hambatan;spesifikasi positif;puas sistem operasi kencang bebas hambat;-8
operasinya lancar banget membantu bisnis saya;spesifikasi positif;operasi lancar bantu bisnis;5
sistem operasi nya nyaman banget dipake dan ga lemot;spesifikasi positif;sistem operasi nyaman lot;-4
selalu lancar jaya dan nyaman banget gak pernah lemot;spesifikasi positif;lancar jaya nyaman lot;5
performa iphone x mumpuni banget gak usah diragukan lagi;spesifikasi positif;performa mumpuni ragu;-3
spesifikasi iphone x lebih unggul dari segi performa;spesifikasi positif;spesifikasi unggul segi performa;-1
kecewa karena gak ada pemindai sidik jari;spesifikasi negatif;kecewa pindai sidik jari;-4
RAM kecil banget kapasitasnya;spesifikasi negatif;ram kapasitas;3
ya sayangnya kaga ada memori eksternal;spesifikasi negatif;sayang kaga memori eksternal;0
kecewa banget beberapa fitur dihilangkan oleh iphone;spesifikasi negatif;kecewa fitur hilang;-1
kenapa kalo mau upgrade storage di icloud harus bayar;spesifikasi negatif;upgrade storage icloud bayar;-2
gaada tempat buat sd card ga kaya android;spesifikasi negatif;sd card kaya android;0
ribet banget harus pake splitter soalnya gabisa charge dan dengerin lagu secara bersamaan;spesifikasi negatif;ribet splitter gabisa charge dengerin lagu;1
kenapa sih pemindai sidik jarinya diilangin padahal hari gini kan pake masker mulu jadi ribet kalo pake pemindai wajah;spesifikasi negatif;pindai sidik jari diilangin gin masker mulu ribet pindai wajah;-7
sumpah ya kenapa iphone tuh ukuran RAM nya segede semut;spesifikasi negatif;tuh ukur ram gede semut;3
tibatiba disuruh install aplikasi absen sama sekolah tapi di iphone gabisa soalnya ram nya kecil;spesifikasi negatif;tibatiba suruh install aplikasi absen sekolah gabisa ram;-6
kamera nya cepet banget autofokus keren banget deh;kamera positif;kamera cepat autofokus keren deh;0
hasil fotonya lebih bagus daripada versi sebelumnya;kamera positif;hasil foto bagus versi;4
keren deh kamera nya walaupun minim cahaya tetep memuaskan banget hasil fotonya terang dan jelas;kamera positif;keren deh kamera minim cahaya tetep muas hasil foto terang;7
Wow bisa bikin video keren pake kamera depan;kamera positif;video keren kamera;0
hasil foto pake kamera iphone 11 bagus banget kaya pake kamera dslr;kamera positif;hasil foto kamera bagus kaya kamera dslr;4
kamera nya keren abis;kamera positif;kamera keren abis;-1
buat foto jarak jauh mantap banget ga burem sama sekali;kamera positif;foto jarak mantap burem;8
kalo soal kamera gak usah ragu lagi sama iphone;kamera positif;kamera ragu;-3
hasil foto udah kaya pake kamera level profesional;kamera positif;hasil foto udah kaya kamera level profesional;6
kameranya super bagus hasilnya kaya dilihat pake mata langsung;kamera positif;kamera super bagus hasil kaya lihat mata langsung;6
kalo mau foto jarak dekat kurang bagus nih lensa kamera nya;kamera negatif;foto jarak bagus lensa kamera;1
banyak yang ngeluh bentuk kamera nya kaya minuman bubble milk tea;kamera negatif;ngeluh bentuk kamera kaya minum bubble milk tea;-3
ribet dah kalo selfie pake iphone harus pake filter soalnya hasilnya terlalu realistis jadi gue keliatan jeleknya;kamera negatif;ribet foto filter hasil realistis gue liat jelek;2
gampang lecet kamera nya;kamera negatif;gampang lecet kamera;-3
kamera ip11 tuh hasil fotonya tuh warnanya jadi lebih kuning gitu aneh;kamera negatif;kamera ip tuh hasil foto tuh warna kuning aneh;2
hasil foto iphone 11 kurang bagus kalo gak ada cahaya matahari;kamera negatif;hasil foto bagus cahaya matahari;6
bagusan kamera samsung kemanamana daripada iphone x;kamera negatif;bagus kamera samsung kemanamana;-2
kamera swafoto iphone 11 kurang mantap nih autofokusnya;kamera negatif;kamera swafoto mantap autofokusnya;5
tingkat eksposur kamera ip11 kurang sempurna dibandingkan samsung s10;kamera negatif;tingkat eksposur kamera ip sempurna banding samsung;1
kalo foto didalem ruangan hasilnya kurang mantap nih;kamera negatif;foto dalem ruang hasil mantap;6
mantap deh baterai nya lebih hemat dari versi sebelumnya;baterai positif;mantap deh baterai hemat versi;3
pas awal pake tuh baterai hemat banget bisa tahan seharian;baterai positif;pas tuh baterai hemat tahan;0
baterainya tahan lama banget;baterai positif;baterai tahan;-4
baterai iphone 11 gue masih aman ko walaupun dipake sepuluh jam nonton video;baterai positif;baterai gue aman puluh jam nonton video;-3
lumayan awet sih baterenya dipake main pubg berjam jam;baterai positif;lumayan awet baterenya main pubg jam jam;3
gue tepuk tangan sih batere nya ada peningkatan dibanding versi sebelumnya;baterai positif;gue tepuk tangan batere tingkat banding versi;2
baterenya ga seburuk kata orangorang ko asal elu pakenya jangan jorok aja;baterai positif;baterenya buruk orangorang elu pakenya jorok;-9
enaknya ip11 tuh pas charge lumayan cepet penuh nya;baterai positif;enak ip tuh pas charge lumayan cepat penuh;3
kalo charge nya pake charger iphone yang sesuai mah pasti cepet penuh koo baterenya;baterai positif;charge charger sesuai mah cepat penuh koo baterenya;3
baterenya awet sih ga cepet kembung gitu;baterai positif;baterenya awet cepat kembung;1
sumpah ya charge hp lama banget keburu gajah bertelur;baterai negatif;charge keburu gajah telur;-3
lama banget bisa naik haji dulu kali yaa nunggu baterai penuh;baterai negatif;haji yaa nunggu baterai penuh;-2
makin lama dipake makin cepet habis baterainya;baterai negatif;cepat habis baterai;-3
menurut aku baterai nya kurang awet;baterai negatif;baterai awet;1
pengisian baterai hp tergolong lama;baterai negatif;isi baterai golong;-6
baterai nya ga bisa dicopot;baterai negatif;baterai copot;-5
satu hal yang agak mengecewakan adalah baterainya yang kurang awet;baterai negatif;kecewa baterai awet;1
batere iphone tuh jelek banget;baterai negatif;batere tuh jelek;-5
batere iphone ga seawet samsung apalagi sekarang covid sering main hp jadi boros banget;baterai negatif;batere awet samsung covid main boros;-1
ga awet bgt dah kalo gue pake iphone bisa dua sampe tiga kali charger dalam sehari;baterai negatif;awet gue sampe charger;4
wah bagus ini handphone pantas aja banyak yang nungguin;general positif;bagus handphone nungguin;-3
ga sia sia nungguin banget ip11 rilis keren bgt ternyata;general positif;nungguin ip rilis keren nyata;4
ukurannya ideal ya ga kegedean;general positif;ukur ideal gede;6
pilihan warnanya gemes gemes banget;general positif;pilih warna gemes gemes;-6
mewah yang ga lebay gitu nih ip11 asik;general positif;mewah lebay ip asik;0
I'm so in love with this phone;general positif;love;2
so good for gaming;general positif;good gaming;5
saatnya beralih ke ip11, bye handphone lama;general positif;alih ip bye handphone;-3
setelah baca baca review nya, hm lumayan juga jadi tertarik nih buat beli;general positif;baca baca review hm lumayan tarik beli;4
suka banget sama yang warna hijau, harus punya;general positif;suka warna hijau;5
ga suka ah mending beli merk lain aja;general negatif;suka ah beli merk;1
desainnya masih sama aja kaya yg sebelum sebelumnya bosan;general negatif;desain kaya bosan;4
kurang suka sama desain nya, masih kegedean, kenapa ga lebih slim;general negatif;suka desain gede slim;6
buat apasih make iphone, sistem operasinya ribet apalagi buat yg ga biasa pakai;general negatif;apasih make sistem operasi ribet pakai;-11
upgradenya ga terlalu banyak sih dibanding produk sebelumnya, ga terllau worth sih ya sepertinya;general negatif;upgradenya banding produk terllau banding;3
yaampun ip11 ga ada charger ga ada earphone nya dong, hft banget;general negatif;yaampun ip charger earphone hft;0
kenapa charger dan earphonenya ga include sih, percuma aja spesifikasi mantep, tapi part yg cukup pentingnya ga ada;general negatif;charger earphonenya include spesifikasi mantep part;3
ga pernah tertarik buat beli iphone deh sampai sekarang;general negatif;tarik beli deh;1
ip11 biasa aja sih menurut gue, kenapa pada bilang waw banget ya;general negatif;ip gue bilang waw;0
belum minat buat beli nih iphone 11, masih jelek menurut gue;general negatif;minat beli jelek gue;-2
