Tweet;label;Tweet_Parsed;sentiment;Prediksi
Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëâ¹;harga positif;harga mahal dollar series harga lho jgn bicara mahal taun kmrn seginisegini gue februari beli jt gb ibox;2;harga positif
"Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik

iPhone XS
Kelebihan :
1. OLED

iPhone 11
Kelebihan :
1. A13 Bionic
2. Ultra Wide lens
3. Night mode, Deep Fusion
4. Bateri tahan lebih lama  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦";baterai positif;pilih oled bionic ultra wide lens night mode deep fusion baterai tahan;-6;baterai negatif
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;harga negatif;jual belanja;0;
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif,spesifikasi positif;tajam layar ultra wide angle bagus chipset;0;general negatif
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491ÃÂ Ã¢â¬Â¦;general positif;sesal beli;-4;
iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;general positif;ungu bagus hm;-2;
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;kamera negatif;aneh kamera kaya android ih halus;0;kamera netral
Iphone 11 kameranya kenapa aneh banget si;kamera positif;kamera aneh;0;kamera netral
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif;dasar lapor simpul bahawa turun kapasitas mah percaya chipset bionic jangka tahan;10;baterai positif
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif;xr hasil udah bagus ambil gb android tau kadang suka efek foto xr efek bokeh disetting diagramanya seblur foto laku kamera;9;kamera positif
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;general positif;suka ungu pastel;2;
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif;foto low kualitas;7;kamera positif
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif;kamera bagus dripda langsung;1;kamera negatif
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif;murah jt jt rek nnti trf segitu;-2;harga positif
Kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif;kamera ngewiii;0;kamera netral
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif;baterai tahan android baterai k mah bohong pakai charge je time pakai hidup low power mode baterai tahan;-18;baterai negatif
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif;mahal secondnya murah coba cek deh jt;-1;harga negatif
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif;baterai tahan au;-4;baterai negatif
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;general negatif;bt tuh charge gue mgecharge full bs jam ngesearch google emg hrs beli cepat chargingnya lg udah dpt charger cepat charger hhh kesel;-7;baterai negatif
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif;hasil gambar kamera mode wide angle cantik natural;-2;kamera negatif
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif;harga hitung kecewa bel;4;harga positif
sistem operasinya sangat lancar anti lemot;spesifikasi positif;sistem operasi lancar anti lot;-8;spesifikasi negatif
desainnya emang paling unik dan simpel;general positif;desain unik simpel;7;general positif
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif;sayang produk rentan lecet case;-5;general netral
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif;pilih case agam mudah temu;8;general positif
selalu suka dan nyaman banget menggunakan Iphone;general positif;suka nyaman;6;
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif;kualitas gambar jernih kecewa bel;7;kamera positif
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif;milik ukur layar inchi bosan lihat;7;general netral
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif, harga positif;ukur kamera mp kamera mp cocok harga;7;kamera positif
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;general negatif;milik fitur pindai sidik jari anggap cepat mudah kecewa;0;
desain Iphone X terlihat hambar dan sedikit membosankan;general negatif;desain lihat hambar bosan;4;general positif
sayangnya baterai iphone sangat boros;baterai negatif;sayang baterai boros;-8;baterai negatif
hasil pengambilan gambar dan video saat malam hari sangat memuaskan;kamera positif;hasil ambil gambar video malam muas;1;kamera negatif
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif;resolusi gambar video hasil bagus zoom pecah;3;kamera positif
pilihan warna pada Iphone sangat unik dan tidak membosankan;general positif;pilih warna unik bosan;-2;general netral
Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;kamera positif;milik fitur atur buram latar foto foto lihat fokus objek;8;kamera positif
bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;general positif;bisnis cocok milik performa;5;
Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;baterai positif;milik prosesor hemat persen pakai daya baterai;1;baterai netral
pengisian daya pada Iphone 11 super cepat;baterai positif;isi daya super cepat;-2;baterai positif
Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;general positif;tahan air tahan menit;-3;
Iphone 11 Pro didesain dengan dimensi layar yang lebih kecil sehingga nyaman untuk digenggam;general positif;desain dimensi layar nyaman genggam;8;general positif
Iphone 11 Pro memiliki tingkat kecerahan yang lebih baik;general positif;milik tingkat cerah;2;
kamera telefoto dan kamera ultra-wide masih terasa kurang greget;kamera negatif;kamera telefoto kamera ultra wide asa greget;1;kamera positif
Iphone 11 Pro tidak menyediakan lubang audio;general negatif;sedia lubang audio;-1;general netral
bagus banget nih kamera nya bisa jadi youtuber deh aku;kamera positif;bagus kamera youtuber deh;-2;kamera netral
baterai nya awet deh bisa seharian main tiktok;baterai positif;baterai awet deh main tiktok;1;baterai positif
ih senang deh tiada hari tanpa selfie nih gara-gara kamera nya;kamera positif;ih senang deh tiada foto gara gara kamera;-8;kamera negatif
pantas di kantong nih hp nya jadi gak ribet bawa tas;general positif;kantong ribet bawa tas;-5;
ukuran layarnya sedikit kecil agak susah nih mau ngegame;general negatif;ukur layar susah ngegame;0;general negatif
fitur-fitur kameranya bikin hasil foto cantik banget deh;kamera positif;fitur fitur kamera hasil foto cantik deh;4;kamera positif
IOS nya selalu update yang terbaru nih, jangan takut ketinggalan IOS;spesifikasi positif;ios takut tinggal ios;-5;spesifikasi negatif
walaupun harganya sangat mahal tapi spesifikasinya sangat baik;harga negatif, spesifikasi positif;harga mahal spesifikasi;7;harga positif
Iphone memiliki memori internal yang besar sehingga tidak memerlukan memori eksternal;spesifikasi positif;milik memori internal memori eksternal;1;spesifikasi netral
makin banyak nih video tiktok aku karena hasilnya jernih banget;kamera positif;video tiktok hasil jernih;7;kamera positif
jalan-jalan makin puas nih karena bisa dapatin foto-foto yang bagus;kamera positif;jalan jalan puas dapatin foto foto bagus;7;kamera positif
Iphone 11 Pro tidak memiliki RAM yang cukup besar hanya 4GB;spesifikasi negatif;milik ram gb;1;spesifikasi netral
sayangnya ngecas iphone sehari bisa sampai 2 atau 3 kali;baterai negatif;sayang ngecas;0;
spesifikasi iphone 11 Pro memang sangat baik jadi wajar harganya pun relatif tinggi;spesifikasi positif, harga positif;spesifikasi wajar harga relatif;4;harga positif
terkadang kapasitas baterai turun drastis ketika memperbarui IOS;baterai negatif;terkadang kapasitas baterai turun drastis ios;1;baterai negatif
aplikasi di iphone rata-rata banyak berbayar;general negatif;aplikasi bayar;-6;
baterai sangat boros sehingga selalu membawa cas kemana-mana;baterai negatif;baterai boros bawa cas;-10;baterai negatif
kamera nya kadang suka ga bisa fokus;kamera negatif;kamera kadang suka fokus;6;kamera positif
kecerahan dari kamera kadang suka tidak stabil;kamera negatif;cerah kamera kadang suka stabil;8;kamera positif
banyak yang komen kamera 3 nya kayak kompor ih;kamera negatif;komen kamera kayak kompor ih;-7;kamera negatif
gaada efek glowingnya nih kamera;kamera negatif;efek glowingnya kamera;3;kamera netral
sumpah biasa aja nih kameranya ga ada bagus bagusnya;kamera negatif;kamera bagus bagus;-4;kamera negatif
hasil foto malam hari ga terlihat bagus;kamera negatif;hasil foto malam lihat bagus;6;kamera positif
efeknya gabisa nutupin jerawat nih;kamera negatif;efek gabisa nutupin jerawat;0;
makin kesini kameranya makin aneh ih, jelek;kamera negatif;kesini kamera aneh ih jelek;-5;kamera netral
udah kayak minuman boba aja tu kamera banyak bener;kamera negatif;udah kayak minum boba kamera;-6;kamera netral
baru beli, baterai nya awet banget bisa seharian dipakai main tiktok;baterai positif;beli baterai awet pakai main tiktok;0;baterai positif
ga perlu bawa casan kemana mana deh, baterai nya tahan banget;baterai positif;bawa cas deh baterai tahan;-6;baterai negatif
udah pake sekitar 5 bulan, kesehatan baterainya tidak menurun;baterai positif;udah sehat baterai turun;-2;baterai negatif
sumpah ya awet bener seharian gila;baterai positif;awet;4;
ga nyesel sumpah beli iphone, baterai nya bisa nonton youtube seharian;baterai positif;nyesel beli baterai nonton youtube;-9;baterai negatif
lebih irit baterainya dari varian sebelumnya;baterai positif;irit baterai varian;-4;baterai negatif
ngecas nya ga perlu waktu lama loh;baterai positif;ngecas loh;0;
boros banget gila baterainya;baterai negatif;boros baterai;-8;baterai netral
jadi nyesel beli iphone kalau tau baterai nya boros begini;baterai negatif;nyesel beli tau baterai boros;-18;baterai negatif
sumpah ya baru main sejam udah habis aja ini baterai;baterai negatif;main jam udah habis baterai;-3;baterai netral
baterai nya ga bisa dicopot nih;baterai negatif;baterai copot;-5;baterai negatif
ngedit video tiktok cuman bisa 1 nih kalau kayak gini baterainya;baterai negatif;ngedit video tiktok cuman kayak gin baterai;-6;kamera negatif
udah kayak air terjun nih baterai cepat banget ngalirnya;baterai negatif;udah kayak air terjun baterai cepat ngalirnya;-9;baterai negatif
ini hp atau apa dah besar banget ukurannya;general negatif;ukur;3;
kalau jatuh keliatan lecetnya karna desainya mengkilap;general negatif;jatuh liat lecet karna desa kilap;-5;
terlalu besar ukurannya jadi susah masuk saku;general negatif;ukur susah masuk saku;-3;
capek juga genggam hp segede ini;general negatif;capek genggam gede;0;
gila performanya bagus banget, cepat lagi;spesifikasi positif;performa bagus cepat;-2;
sumpah ini mah kalau main game anti lemot wkwk sistem operasinya lancar banget;spesifikasi positif;mah main game anti lot sistem operasi lancar;-6;baterai negatif
makin kesini kinerja dan sistem operasinya makin baik dah;spesifikasi positif;kesini kerja sistem operasi;-1;spesifikasi negatif
bisnis aku makin lancar deh kalau perfomanya kayak gini;spesifikasi positif;bisnis lancar deh perfomanya kayak gin;2;
spesifikasinya gila memuaskan banget, tidak diragukan lagi;spesifikasi positif;spesifikasi muas ragu;5;
sayang ini RAM nya hanya 3GB;spesifikasi negatif;sayang ram gb;0;spesifikasi netral
kadang IOS nya suka ngefek ga baik buat aplikasinya;spesifikasi negatif;kadang ios suka ngefek aplikasi;1;spesifikasi positif
fitur sidik jari dihapus kan jadi ribet;spesifikasi negatif;fitur sidik jari hapus ribet;-11;
sebel banget tombol tengahnya dihilangkan;spesifikasi negatif;sebel tombol hilang;-6;
ih cuman ada memori internal nih gaada memori eksternalnya;spesifikasi negatif;ih cuman memori internal memori eksternal;0;spesifikasi netral
sebel banget lubang audio nya gaada;spesifikasi negatif;sebel lubang audio;-8;general netral
fitur-fiturnya banyak diganti nih jadi agak ribet;spesifikasi negatif;fitur fiturnya ganti ribet;-4;
agak kecewa sih RAM nya ga meningkat;spesifikasi negatif;kecewa ram tingkat;1;spesifikasi netral
belum 5g nih, masih aja 4g;spesifikasi negatif;g g;0;
dijamin gabakal nyesel deh beli iphone dengan harga segitu;harga positif;jamin gabakal nyesel deh beli harga segitu;-15;harga positif
wajar sih harga nya segitu karena pemakaiannya dalam jangka lama;harga positif;wajar harga segitu pakai jangka;1;harga netral
harga iphone x masih terjangkau kok;harga positif;harga jangkau;3;harga positif
barang bermerek dengan harga segitu wajar dong;harga positif;barang merek harga segitu wajar;-2;harga netral
ada kualitas ada harga wkwk;harga positif;kualitas harga;7;harga netral
harga segitu buat iphone mah ga mahal;harga positif;harga segitu mah mahal;1;harga netral
sumpah udah berapa kali beli ga pernah nyesel sama harga segitu;harga positif;udah beli nyesel harga segitu;-6;harga positif
ketahanan lama untuk harga segitu wajar banget;harga positif;tahan harga segitu wajar;-3;harga netral
jual ginjal dulu apa ya buat beli ip 11 pro;harga negatif;jual ginjal beli;0;
nabung berapa tahun ya buat beli ip 11;harga negatif;nabung beli;-1;
bikin dompet kering nih beli iphone;harga negatif;dompet kering beli;-4;
sumpah ya mahal banget harganya;harga negatif;mahal harga;4;harga positif
udah minder duluan nih lihat harganya;harga negatif;udah minder duluan lihat harga;6;harga netral
harganya tinggi banget udah deh liat ulasannya aja;harga negatif;harga udah deh liat ulas;4;harga positif
ga turun turun nih harganya iphone tetap aja tinggi;harga negatif;turun turun harga;-1;harga netral
mau nangis aja deh liat harganya;harga negatif;suka deh liat harga;6;harga netral
Kamera iphone 11 sedikit lebih bagus dibanding pesaingnya dan untuk kualitas hasil jepretannya juga oke;Kamera positif;kamera bagus banding saing kualitas hasil jepret oke;7;kamera positif
Ngga suka sekali warna merah buat iphone 11;General negatif;ngga suka warna merah;1;general netral
Baterai iphone x dan 11 ngga ada bedanya, sangat boros;Baterai negatif;baterai ngga beda boros;-12;baterai negatif
Sangat lucu yang warna kuning, jadi pengen beli iphone 11;General positif;bagus warna kuning ken beli;-6;general negatif
Dari segi harga emang keduanya sama mahalnya tapi kualitas kamera tetep ip 11 dihati;Harga negatif, kamera positif;segi harga mahal kualitas kamera tetep hati;4;harga positif
Hasil jepretan kamera iphone X biasa aja;Kamera negatif;hasil jepret kamera;3;kamera netral
Spek ip X dan 11 ngga beda jauh, biasa aja ngga terlalu hebat;Spesifikasi negatif;spek ngga beda ngga hebat;-6;
Nyesel buru-buru beli iphone X yang akhirnya spesifikasinya sama aja kayak iphone 11 wkwk;Spesifikasi negatif;nyesel buru buru beli spesifikasi kayak;-10;
Charger iphone dari dulu ngga pernah awet, selalu mudah rusak;Baterai negatif;charger ngga awet mudah rusak;4;baterai positif
Daya tahan baterai iphone 11 sedikit lebih baik dibanding ip X;Baterai positif;daya tahan baterai banding;1;baterai positif
Ukuran iphone 11 besar banget untuk ditangan, agak kurang nyaman;General negatif;ukur tang nyaman;7;
Harga oke lah untuk iphone 11 masih masuk sama isi kantong;Harga positif;harga oke masuk isi kantong;0;harga negatif
Iphone 11 varian warnanya lebih banyak dibanding iphone X, kayaknya beli ip 11 aja deh lebih layak;General positif;varian warna banding kayak beli deh layak;-7;general negatif
Iphone X ngga kalah keren kok sama iphone 11 dari segi kamera dan spesifikasi;Kamera positif, spesifikasi positif;ngga kalah keren segi kamera spesifikasi;-7;kamera netral
Speaker iphone X kenapa jelek banget ya kayak agak mendelep gitu;General negatif;speaker jelek kayak mendelep;-8;general negatif
Hasil video di iphone 11 bagus banget. Suka banget parah;Kamera positif;hasil video bagus suka parah;-2;kamera netral
Kecepatan charging iphone 11 lebih cepat dibanding ip X, padahal casannya sama aja. Tapi okelah...;Baterai positif;cepat charger cepat banding cas oke;2;baterai netral
Desain kamera iphone 11 kenapa begitu sih, cuma 2 aja tapi dikotakin jadi keliatan aneh;Kamera negatif;desain kamera dikotakin liat aneh;5;general positif
Iphone 11 iOS nya terbaru, ngga sabar nunggu keluar. Udah liat previewnya, bagus sangat.;Spesifikasi positif;ios ngga sabar nunggu udah liat preview bagus;3;spesifikasi positif
RAM ip 11 lebih oke 1 Gb dibanding ip X, langsung gas beli;Spesifikasi positif;ram oke gb banding langsung gas beli;0;spesifikasi positif
Coba kamera iphonne 11 buat pertama kali ternyata night mode keren banget hasilnya terang lebih terang dari iphone x;kamera positif;coba kamera iphonne nyata night mode keren hasil terang terang;4;kamera positif
gila night mode iphone 11 ga abis pikir keren abis;kamera positif;night mode abis pikir keren abis;-3;
pake iphone 11 sekarang ga perlu lagi dong susah-susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang wkwk;kamera positif;susah susah cari terang poto lo poto segelapa hasil terang;-8;
hari ini mau keluar buat beli sayur sekalian coba kamera hp baru ku dan ternyata hasilnya ga mengecewakan;kamera positif;beli sayur coba kamera ku nyata hasil kecewa;5;kamera positif
gambar jepretan ip 11 pro resolusinya ga main-main;kamera positif;gambar jepret resolusi main main;2;kamera positif
pake ip 11 pro backlight selfie bisa jadi bagus;kamera positif;backlight foto bagus;1;kamera positif
hasil poto kamera ip 11 pro ga kalah sama dslr bro;kamera positif;hasil poto kamera kalah dslr;-1;kamera negatif
saya terkesan dengan hasil night mode ip 11;kamera positif;kes hasil night mode;6;
harganya mahal sih tapi ga apa-apa kameranya emang juara;kamera positif, harga negatif;harga mahal kamera juara;4;harga positif
keluar malem pengen coba night mode ip 11 pro hasilnya cakep banget;kamera positif;malem ken coba night mode hasil bagus;2;
ternyata kameranya ga sebagus yang orang bilang tuh;kamera negatif;nyata kamera bagus orang bilang tuh;0;kamera negatif
hasil potonya ga sebanding sama harganya;kamera negatif;hasil potonya banding harga;6;harga netral
kalo emang incer hp ip 11 pro cuma buat kameranya sih mending beli dslr sekalian lebih bagus;kamera negatif;incer kamera beli dslr bagus;-3;kamera negatif
selfie kameranya ga bagus buat di tempat gelap;kamera negatif;foto kamera bagus gelap;-3;kamera positif
biasa aja tuh kameranya;kamera negatif;tuh kamera;0;kamera netral
kok gue ga ngerasa ada perbedaan yang signifikan buat kualitas kameranya;kamera negatif;gue ngerasa beda signifikan kualitas kamera;0;kamera netral
kualitas kameranya ga sebanding harga;kamera negatif;kualitas kamera banding harga;7;kamera netral
ga wow banget kameranya ah, lebay;kamera negatif;kamera ah lebay;-4;kamera netral
kurang bagus sih kameranya, kalau diliat dari harganya yang mahal ga setimpal banget;kamera negatif, harga negatif;bagus kamera liat harga mahal timpal;5;kamera positif
penempatan kameranya bikin jelek, aneh gitu jadinya liatnya;kamera negatif;kamera jelek aneh liat;-4;kamera negatif
gila ip 11 beneran fast charging 30 menit doang langsung full tuh;baterai positif;beneran cepat charger menit langsung full tuh;6;baterai positif
baterai ip 11 paling bagus sih dari ip seris yang lain;baterai positif;baterai bagus seris;-5;baterai negatif
baterai nya tahan lama banget nonton video berjam-jam tetap awet;baterai positif;baterai tahan nonton video jam jam awet;0;baterai negatif
Sudah menggunakan 11 selama 2 bulan sekarang, saya rasa baterainya sangat bagus.;baterai positif;baterai bagus;-5;baterai negatif
Saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam, dan sejauh ini kesehatan baterai masih 100%.;baterai positif;isi daya ponsel malam sehat baterai;-4;baterai positif
aku biasa main hp dari jam 9 pagi dan sampai jam 11 malem bahkan baterainya ga habis sampai 50 persen;baterai positif;main jam pagi jam malem baterai habis persen;-4;baterai negatif
baterainya awet banget bisa dipake seharian, ga perlu lagi tuh bawa charger kemana-mana;baterai positif;baterai awet tuh bawa charger;-1;baterai negatif
ip 11 baterai than lama sih;baterai positif;baterai;-3;baterai netral
waktu isi daya baterainya ip 11 lebih cepet dari ip x;baterai positif;isi daya baterai cepat;-6;baterai negatif
baterainya awet dipake streaming lama lama haha;baterai positif;baterai awet streaming;1;baterai positif
Apple bilang iPhone 11 iPhone 11 Pro dan iPhone 11 Pro Max memiliki masa pakai baterai sehari tapi tidak juga tuh masa pakai baterai saya kurang dari 24 jam.;baterai negatif;bilang milik pakai baterai tuh pakai baterai jam;-5;baterai negatif
waktu isi daya baterai sampai penuh lama juga;baterai negatif;isi daya baterai penuh;-6;baterai negatif
baterainya masih lebih awet yang ip 8 tuh daripada ip 11;baterai negatif;baterai awet tuh;1;baterai positif
daya tahan baterainya masih jelek, kalah sama samsung;baterai negatif;daya tahan baterai jelek kalah samsung;-8;baterai negatif
aku ga ngerasa baterai hp ip 11 ini lebih awet dari ip seris lain sih, malah lebih boros;baterai negatif;ngerasa baterai awet seris boros;-6;baterai positif
baterainya ga tahan dipakai buat seharian harus isi ulang mulu;baterai negatif;baterai tahan pakai isi ulang mulu;-6;baterai negatif
dipake buat nge game ga tahan sih baterainya;baterai negatif;nge game tahan baterai;-2;baterai netral
ga kuat sih baterainya kalau dipake seharian;baterai negatif;kuat baterai;-4;baterai netral
baterai nya ga kuat dipake lama lama;baterai negatif;baterai kuat;-4;baterai negatif
cepet abis baterainya;baterai negatif;cepat abis baterai;-4;baterai netral
buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;harga positif;spesifikasi keren harga jangkau;6;harga positif
bole sih harga segitu, emang spesifikasi hp nya bagus juga;harga positif, spesifikasi positif;bole harga segitu spesifikasi bagus;1;harga positif
harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harga positif;harga masuk akal mahal harga segitu;1;harga positif
murah lah segitu mah, secara kan dolar emang mahal di indo;harga positif;murah segitu mah dolar mahal indo;-4;harga negatif
ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;harga positif;nyata murah kiarain mahal harga;7;harga positif
ga mahal sih menurutku secara ada kualitas ada harga;harga positif;mahal kualitas harga;8;harga positif
ya murah sih menurut gue, soalnya kan emang barang bermerek jadi ya wajar aja;harga positif;murah gue barang merek wajar;-1;harga positif
harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga positif;harga murah gue beli nyampe juta;5;harga positif
kirain harganya bakalan mahal banget ternyata engga mahal kok;harga positif;kirain harga mahal nyata engga mahal;7;harga positif
harganya cukup murah untuk ukuran iphone keluaran terbaru;harga positif;harga murah ukur;7;harga positif
gila mahal amat harganya, ga sanggup belinya;harga negatif;mahal harga sanggup beli;5;harga positif
harga ip 11 kemahalan, jual ginjal dulu kali ya;harga negatif;harga mahal jual ginjal;5;harga positif
hp buat sultan doang ini mah, mahal bener;harga negatif;sultan mah mahal;1;baterai netral
ga setimapal sih menurut gue harganya, kemahalan kalo cuma buat beli hp doang mending beli laptop sekalian;harga negatif;setimapal gue harga mahal beli beli laptop;2;harga positif
mahal banget satu hp doang seharga motor;harga negatif;mahal harga motor;4;harga positif
mahal banget harganya, padahal modelnya keliatan lebih murah dari seris yang lain;harga negatif, general negatif;mahal harga model liat murah seris;9;harga positif
pengen nangis liat harganya;harga negatif;ken suka liat harga;7;harga netral
barang bermerek mahal ya;harga negatif;barang merek mahal;1;harga netral
harganya ga masuk akal, bikin nangis;harga negatif;harga masuk akal suka;2;harga netral
kemahalan sih menurutku, tapi mungkin emang nulai tukar rupiah sama dolar yang bikin tambah mahal;harga negatif;mahal nulai tukar rupiah dolar mahal;0;harga negatif
body nya bagus keliatan mewahnya;general positif;body bagus liat mewah;-1;
layarnya lebar, enak dipake;general positif;layar lebar enak;1;general netral
pilihan warnanya banyak banget, unik dan lucu lucu;general positif;pilih warna unik bagus bagus;-6;general negatif
gemes liat warnanya;general positif;gemes liat warna;-1;general netral
iphone 11 warna kuning lucu;general positif;warna kuning bagus;-6;general negatif
gue suka sih sama model ip 11 ini, keliatan fresh dan unik;general positif;gue suka model liat fresh unik;4;
ip 11 banyak banget pilihan warnanya, bagus semua;general positif;pilih warna bagus;-4;general netral
hpnya gede tapi enak sih jadinya liat ke layar;general positif;hpnya enak liat layar;2;general netral
hpnya ringan ternyata ga berat-berat banget;general positif;hpnya ringan nyata berat berat;3;
ternyata bener anti air guys, gue rendem ga kenapa-kenapa;general positif;nyata anti air gue rendem;-1;
layarnya jelek banget, rentan retak meskipun ada pelindung layar.;general negatif;layar jelek rentan retak lindung layar;-9;general negatif
ga ada yang spesial dari design hpnya, ga begitu beda dari series yang lain;general negatif;spesial design hpnya beda series;2;
kualitas speakernya jelek amat, padahal hp mahal;general negatif, harga negatif;kualitas speakernya jelek mahal;0;harga netral
layarnya gampang retak, harus pake pelindung sih;general negatif;layar gampang retak lindung;1;general negatif
model hpnya ga unik tuh, modelnya mirip yang seris xr;general negatif;model hpnya unik tuh model seris xr;6;
model layarnya sama kaya seris lain, kesannya jadi keliatan jadul padahal keluaran baru;general negatif;model layar kaya seris kesan liat jadul;1;general positif
modelnya kaya yang murahan;general negatif;model kaya murah;4;harga netral
layar bezelnya masih tebel kaya seris yang lama, ga enak liatanya;general negatif;layar bezelnya tebel kaya seris enak liatanya;1;general positif
dalam kardusnya cuma ada hp sama kabel doang, buat earpodnya harus beli terpisah;general negatif;kardus kabel earpodnya beli pisah;-4;
warnanya jelek, ga keliatan mewah mirip hp murah;general negatif;warna jelek liat mewah murah;-3;general negatif
layarnya udah ips ternyata, jadi lebih enak liatnya;spesifikasi positif;layar udah ips nyata enak liat;4;general positif
spesifikasinya keren, pake chip a13 yang katanya cpu dan gpu ponsel tercepat;spesifikasi positif;spesifikasi keren chip cpu gpu ponsel cepat;3;spesifikasi netral
layarnya udah pake teknologi LiquidRetina LCD, jadinya keliatan lebih tajam dan jelas;spesifikasi positif;layar udah teknologi liquidretina lcd liat tajam;3;general positif
yang terlihat di layar kaya yang nyata banget, sumpah bagus banget ini spesifikasinya;spesifikasi positif;lihat layar kaya nyata bagus spesifikasi;6;general netral
layarnya lebih sensitif dari seris yang lama, enak banget pakenya;spesifikasi positif;layar sensitif seris enak pakenya;2;general positif
puas banget beli hp ip 11, walaupun mahal tapi spesifikasinya memuaskan;spesifikasi positif, harga negatif;puas beli mahal spesifikasi muas;11;harga positif
layarnya lebar 6,1 inchi jadi enak di pake nonton dan main game;spesifikasi positif;layar lebar inchi enak nonton main game;3;general positif
audionya pake dolby guys, jadi suaranya jernih;spesifikasi positif;audio dolby suara jernih;5;general positif
kualitas layarnya oke banget, tingkat kecerahannya ga bikin mata sakit walau lama-lama liat layar;spesifikasi positif;kualitas layar oke tingkat cerah mata sakit liat layar;1;general negatif
gpu nya bagus banget, ngalah grapisnya kenceng;spesifikasi positif;gpu bagus ngalah grapisnya kenceng;-5;
ga ada port buat headset, bikin ribet;spesifikasi negatif;port headset ribet;-4;
ip 11 fitur pengamannya jelek banget, pengitai jari aja ga ada;spesifikasi negatif;fitur kam jelek jari;-7;
ip 11 belom 5g, susah lagi deh nanti kalau di indo udah pada 5g;spesifikasi negatif;bom g susah deh indo udah g;-6;
RAM nya ga ada yange lebih gede kah, dikit amat kasihnya, padahal hp mahal;spesifikasi negatif, harga negatif;ram yange dikit kasih mahal;-2;spesifikasi negatif
